movno,side,played_san,played_uci,wmat,bmat,fen
29,w,Bxa7,c5a7,22,22,r5k1/p5bp/6p1/2B1qp2/1P2p3/4Q3/P4PPP/4R1K1 w - - 0 29
30,w,Bc5,a7c5,22,21,r5k1/B5bp/6p1/5p2/1P2p3/2q1Q3/P4PPP/4R1K1 w - - 1 30
31,w,Rc1,e1c1,21,21,6k1/6bp/6p1/2B2p2/1P2p3/2q1Q3/r4PPP/4R1K1 w - - 0 31
32,w,Bxe3,c5e3,12,21,6k1/6bp/6p1/2B2p2/1P2p3/4q3/r4PPP/2R3K1 w - - 0 32
33,w,g4,g2g4,12,12,6k1/6bp/6p1/5p2/1P2p3/4B3/1r3PPP/2R3K1 w - - 1 33
34,w,Rc6,c1c6,12,12,6k1/6b1/6pp/5p2/1P2p1P1/4B3/1r3P1P/2R3K1 w - - 0 34
35,w,gxf5,g4f5,12,12,8/6bk/2R3pp/5p2/1P2p1P1/4B3/1r3P1P/6K1 w - - 2 35
36,w,Rb6,c6b6,11,11,8/6bk/2R4p/5p2/1P2p3/4B3/1r3P1P/6K1 w - - 0 36
37,w,Rb5,b6b5,11,11,6k1/6b1/1R5p/5p2/1P2p3/4B3/1r3P1P/6K1 w - - 2 37
38,w,Bxf4,e3f4,11,11,6k1/6b1/7p/1R6/1P2pp2/4B3/1r3P1P/6K1 w - - 0 38
39,w,Be3,f4e3,11,10,6k1/8/7p/1R6/1P1bpB2/8/1r3P1P/6K1 w - - 1 39
40,w,fxe3,f2e3,8,10,6k1/8/7p/1R6/1P2p3/4b3/1r3P1P/6K1 w - - 0 40
41,w,Rb6,b5b6,8,7,8/5k2/7p/1R6/1P2p3/4P3/1r5P/6K1 w - - 1 41
42,w,h4,h2h4,8,7,8/5k2/1R6/7p/1P2p3/4P3/1r5P/6K1 w - - 0 42
43,w,Rb7+,b6b7,8,7,8/4k3/1R6/7p/1P2p2P/4P3/1r6/6K1 w - - 1 43
44,w,b5,b4b5,8,7,8/1R6/4k3/7p/1P2p2P/4P3/1r6/6K1 w - - 3 44
45,w,Kf1,g1f1,8,7,8/1R6/3k4/1P5p/4p2P/4P3/1r6/6K1 w - - 1 45
46,w,b6,b5b6,8,7,8/1R6/8/1P1k3p/4p2P/4P3/1r6/5K2 w - - 3 46
47,w,Rd7,b7d7,8,7,8/1R6/1P6/7p/2k1p2P/4P3/1r6/5K2 w - - 1 47
48,w,Rd4+,d7d4,7,7,8/3R4/1r6/7p/2k1p2P/4P3/8/5K2 w - - 0 48
49,w,Rxe4,d4e4,7,7,8/8/1r6/7p/3Rp2P/2k1P3/8/5K2 w - - 2 49
50,w,Re5,e4e5,7,6,8/8/1r6/7p/4R2P/3kP3/8/5K2 w - - 1 50
51,w,Kg1,f1g1,7,6,8/8/8/4R2p/7P/3kP3/1r6/5K2 w - - 3 51
52,w,Rxh5,e5h5,7,6,8/8/8/4R2p/7P/3kP3/2r5/6K1 w - - 5 52
53,w,Rf5,h5f5,6,5,8/8/8/7R/7P/4k3/2r5/6K1 w - - 0 53
54,w,Rf8,f5f8,6,5,8/8/8/5R2/4k2P/8/2r5/6K1 w - - 2 54
55,w,Kg2,g1g2,6,5,5R2/8/8/2r5/4k2P/8/8/6K1 w - - 4 55
56,w,Rxf5,f8f5,6,5,5R2/8/8/5r2/4k2P/8/6K1/8 w - - 6 56
57,w,Kg3,g2g3,1,0,8/8/8/5k2/7P/8/6K1/8 w - - 0 57
58,w,Kg4,g3g4,1,0,8/8/6k1/8/7P/6K1/8/8 w - - 2 58
59,w,h5,h4h5,1,0,8/7k/8/8/6KP/8/8/8 w - - 4 59
60,w,Kf4,g4f4,1,0,7k/8/8/7P/6K1/8/8/8 w - - 1 60
61,w,Kf5,f4f5,1,0,6k1/8/8/7P/5K2/8/8/8 w - - 3 61
62,w,Kg5,f5g5,1,0,8/7k/8/5K1P/8/8/8/8 w - - 5 62
63,w,Kh6,g5h6,1,0,7k/8/8/6KP/8/8/8/8 w - - 7 63
64,w,Kg6,h6g6,1,0,6k1/8/7K/7P/8/8/8/8 w - - 9 64
65,w,Kg5,g6g5,1,0,7k/8/6K1/7P/8/8/8/8 w - - 11 65
66,w,Kf4,g5f4,1,0,6k1/8/8/6KP/8/8/8/8 w - - 13 66
67,w,Kf5,f4f5,1,0,8/7k/8/7P/5K2/8/8/8 w - - 15 67
68,w,Ke5,f5e5,1,0,8/6k1/8/5K1P/8/8/8/8 w - - 17 68
69,w,Kf6,e5f6,1,0,8/8/7k/4K2P/8/8/8/8 w - - 19 69
