game,movno,side,played_san,played_uci,fen
benoni,24,w,Be3,f4e3,r3r3/1bq2pbk/pp1p2pp/2pP3n/P1B1PB1P/2N5/1P1Q1PP1/R3R1K1 w - - 3 24
benoni,25,w,g3,g2g3,r3r3/1b2qpbk/pp1p2pp/2pP3n/P1B1P2P/2N1B3/1P1Q1PP1/R3R1K1 w - - 5 25
benoni,26,w,f3,f2f3,r3r3/1b2qpbk/pp1p1npp/2pP4/P1B1P2P/2N1B1P1/1P1Q1P2/R3R1K1 w - - 1 26
benoni,27,w,g4,g3g4,r3r3/1b2qpbk/pp1p2pp/2pP3n/P1B1P2P/2N1BPP1/1P1Q4/R3R1K1 w - - 1 27
benoni,28,w,Bf2,e3f2,r3r3/1b2qpbk/pp1p2pp/2pP4/P1B1P1PP/2N1BPn1/1P1Q4/R3R1K1 w - - 1 28
benoni,29,w,Bb3,c4b3,r3r3/1b2qpbk/p2p2pp/1ppP4/P1B1P1PP/2N2Pn1/1P1Q1B2/R3R1K1 w - - 0 29
benoni,30,w,Kg2,g1g2,r3r3/1b2qp1k/p2p2pp/1ppPb3/P3P1PP/1BN2Pn1/1P1Q1B2/R3R1K1 w - - 2 30
benoni,44,w,Qg5+,h5g5,8/5pk1/5q2/3P1P1Q/4pP1P/1p6/1Pr5/4R2K w - - 0 44
benoni,45,w,fxg5,f4g5,8/5pk1/8/3P1Pq1/4pP1P/1p6/1Pr5/4R2K w - - 0 45
benoni,46,w,Rxe4,e1e4,8/5pk1/8/3P1PP1/4p2P/1p6/1r6/4R2K w - - 0 46
benoni,47,w,f6+,f5f6,8/5pk1/8/3P1PP1/4R2P/1p6/2r5/7K w - - 1 47
benoni,48,w,Re8,e4e8,8/5p2/5Pk1/3P2P1/4R2P/1p6/2r5/7K w - - 1 48
benoni,49,w,Rg8+,e8g8,4R3/5p2/5Pk1/3P2P1/7P/8/1pr5/7K w - - 0 49
benoni,50,w,Rb8,g8b8,6R1/5p2/5P2/3P1kP1/7P/8/1pr5/7K w - - 2 50
benoni,51,w,Kg2,h1g2,1R6/5p2/5P2/3P1kP1/7P/8/1p6/2r4K w - - 4 51
benoni,52,w,Rxb1,b8b1,1R6/5p2/5P2/3P1kP1/7P/8/6K1/1qr5 w - - 0 52
benoni,53,w,d6,d5d6,8/5p2/5P2/3P1kP1/7P/8/6K1/1r6 w - - 0 53
benoni,54,w,Kf3,g2f3,8/5p2/3P1P2/5kP1/7P/8/6K1/3r4 w - - 1 54
benoni,55,w,Ke3,f3e3,8/5p2/3r1P2/5kP1/7P/5K2/8/8 w - - 0 55
benoni,56,w,Ke4,e3e4,8/5p2/3r1P2/6P1/6kP/4K3/8/8 w - - 2 56
benoni,57,w,g6,g5g6,8/5p2/3r1P2/6P1/4K2k/8/8/8 w - - 0 57
french,28,w,a4,a3a4,5r2/p1qbn1pk/4p1pp/1p1pPr2/2pP1NQP/P1P2P2/R1PB2P1/1R4K1 w - - 8 28
french,29,w,Be3,d2e3,5r2/p1qbn1pk/4p1pp/3pPr2/p1pP1NQP/2P2P2/R1PB2P1/1R4K1 w - - 0 29
french,30,w,Rd1,b1d1,1r6/p1qbn1pk/4p1pp/3pPr2/p1pP1NQP/2P1BP2/R1P3P1/1R4K1 w - - 2 30
french,31,w,Bd2,e3d2,1r6/p2bn1pk/4p1pp/q2pPr2/p1pP1NQP/2P1BP2/R1P3P1/3R2K1 w - - 4 31
french,32,w,Kf1,g1f1,1r6/p2bn1pk/1q2p1pp/3pPr2/p1pP1NQP/2P2P2/R1PB2P1/3R2K1 w - - 6 32
french,33,w,Raa1,a2a1,1r1q4/p2bn1pk/4p1pp/3pPr2/p1pP1NQP/2P2P2/R1PB2P1/3R1K2 w - - 8 33
french,34,w,Rdc1,d1c1,3q4/p2bn1pk/4p1pp/3pPr2/p1pP1NQP/2P2P2/1rPB2P1/R2R1K2 w - - 10 34
french,35,w,Ke1,f1e1,8/p2bn1pk/4p1pp/q2pPr2/p1pP1NQP/2P2P2/1rPB2P1/R1R2K2 w - - 12 35
french,36,w,Kd1,e1d1,8/p2bn1pk/4p1pp/q2pPr2/2pP1NQP/p1P2P2/1rPB2P1/R1R1K3 w - - 0 36
french,37,w,Ke1,d1e1,8/p2bn1pk/4p1pp/q2pPr2/2pP1NQP/2P2P2/prPB2P1/R1RK4 w - - 0 37
french,38,w,Kf1,e1f1,8/p2bn1pk/1q2p1pp/3pPr2/2pP1NQP/2P2P2/prPB2P1/R1R1K3 w - - 2 38
french,39,w,Rxa2,a1a2,8/p2bn1pk/1q2p1pp/3pPr2/2pP1NQP/2P2P2/p1PB2P1/RrR2K2 w - - 4 39
french,40,w,Bxc1,d2c1,8/p2bn1pk/1q2p1pp/3pPr2/2pP1NQP/2P2P2/R1PB2P1/2r2K2 w - - 0 40
