family,seed,game,our_color,result,peak_ply,peak_eval,peak_move,drop_ply,drop_eval,swing,decision_fen,drop_fen,src_dir,in_check,kring_pressure,mat_swing,ks_class
base,0,0,white,0-1,43,4271,d4f4,45,0,4271,r7/ppN2k2/3p1np1/3Pnb2/P1PQ2pq/4P1R1/1P3P1r/R1B1KB2 w Q - 3 22,r7/ppN2k2/3p1np1/3Pnb2/P1P1PQpq/6R1/1P3P2/R1B1KB1r b Q - 0 23,base_s0,0,1,0,positional
base,0,1,black,1-0,34,2329,d8c7,52,115,2214,r2qr1k1/1p3ppp/2bb1n2/p1p5/2P1p3/1PN1P1NP/P1Q1BPP1/3R1RK1 b - - 4 17,3r2k1/2q2ppp/5n2/2pP2r1/p1B1pR2/1P2P2P/P4QP1/3R2K1 w - - 0 27,base_s0,0,0,0,positional
base,0,4,white,0-1,51,2123,c1e1,53,144,1979,3rr1k1/pp3p2/2p2n2/5p2/2PP4/PP4Pp/1Q1NqP1P/2R2RK1 w - - 1 26,3rR1k1/pp3p2/2p2n2/5p2/2PP4/PP1q2Pp/1Q1N1P1P/5RK1 b - - 0 27,base_s0,0,2,-5,ks_attack
base,0,5,black,1-0,40,6147,d7e5,64,-257,6404,3rkb1Q/pp1npp2/5n2/2pq2p1/R3b1P1/1P3N2/1B1NPP2/4K2B b - - 0 20,1r2kb1Q/3np3/5p1q/2p3p1/6P1/2B1PB2/5PK1/R7 w - - 2 33,base_s0,0,1,1,positional
base,0,9,black,1-0,56,5199,e4b1,72,395,4804,5rk1/3b3p/pQ2p1p1/1p1pPn2/4q2P/P3BNR1/1P3PP1/6K1 b - - 2 28,2r3k1/3b2Np/pQ2P1p1/1p1p4/3B2qP/6P1/6PK/8 w - - 1 37,base_s0,0,2,-3,ks_attack
base,0,14,white,1/2-1/2,45,2110,c3a5,49,-2531,4641,r2q2k1/1b3pp1/1p5p/n2n4/3P4/PpB4B/1Q1N1PPP/4R1K1 w - - 1 23,r5k1/1b3pp1/1p5p/B5q1/3PNn2/Pp2R2B/1Q3PPP/6K1 b - - 4 25,base_s0,0,2,-3,ks_attack
base,0,19,black,1-0,60,5691,d7d2,70,0,5691,5bk1/3q1p1p/pQp2np1/B3p3/P1p5/2N1P1P1/5P1P/6K1 b - - 7 30,5bk1/7p/p4np1/B4p2/P1p1pQ2/2N1P1PP/5PK1/4q3 w - - 2 36,base_s0,0,0,1,positional
base,0,22,white,1/2-1/2,121,5973,f4d4,131,0,5973,8/6pk/5p2/1P3P1p/2P2Q2/q7/2KR4/7b w - - 3 61,8/6pk/5p2/1P3P1p/q1P1Q3/8/1R6/1K6 b - - 0 66,base_s0,0,1,-3,positional
base,0,23,black,1-0,70,3639,d6d5,70,3639,0,2R1R3/6pp/p2p1pk1/4pN2/1n2P3/7P/qP3PPK/8 b - - 4 35,2R1R3/6pp/p4pk1/3ppN2/1n2P3/7P/qP3PPK/8 w - - 0 36,base_s0,0,2,0,ks_attack
base,0,27,black,1-0,40,3489,a5a4,42,202,3287,r4rk1/1p4pp/4p3/p2qPp2/1b1P4/3QB1PP/PP3K2/R1R5 b - - 2 20,r4rk1/1p4pp/4p3/4Pp2/pbQPq3/4B1PP/PP3K2/R1R5 w - - 2 22,base_s0,0,0,0,positional
base,0,29,black,1-0,32,6009,f7f6,34,-2371,8380,1r2kb1r/1P1npppp/2P5/pB1b4/8/q5P1/P1QB1P1P/1R2K3 b k - 0 16,1r3b1r/1PPnpkpp/5p2/pB1b4/8/q5P1/P1QB1P1P/1R2K3 w - - 1 18,base_s0,0,1,0,positional
base,0,30,white,0-1,47,2314,c3d5,51,-329,2643,r2q3k/1p4bn/p7/2ppr3/PnP2Q2/RPNP3P/4PPB1/5K1R w - - 2 24,r6k/1p2q1bn/p7/2pBr3/P1P2Q2/1P1P3P/R3PP2/5K1R b - - 2 26,base_s0,0,1,-1,positional
base,0,31,black,1/2-1/2,32,2204,c8h3,40,248,1956,r1b1r1k1/1p3ppp/2nq1n2/p7/2P1p3/PP1PRNPP/4QPB1/RN4K1 b - - 1 16,r3r1k1/1p3ppp/2n4q/p7/2P1P1n1/PPNR1NP1/4QPK1/R7 w - - 5 21,base_s0,0,0,0,positional
base,0,33,black,1-0,62,8970,e7c8,74,-9999931,10008901,rQ2kb1r/P3n1p1/B1p2pb1/2Bpp2q/5P2/6p1/3N1R1P/R5K1 b k - 1 31,Q1nk1b1r/P5p1/B1p2p2/3p3b/4pP2/8/2KN1B2/R6q w - - 2 38,base_s0,0,2,0,ks_attack
base,0,35,black,1-0,50,2796,d8d1,52,-213,3009,1q1rk1r1/1P2p2Q/p1p1bp1p/6p1/1nP1N3/6P1/1P3P1P/R1B2BK1 b - - 1 25,1q2k1r1/1P2p2Q/2p1bp1p/p5p1/1nP1N3/1P4P1/5P1P/R1Br1BK1 w - - 0 27,base_s0,0,1,0,positional
base,0,36,white,0-1,25,2413,e6e4,31,-1143,3556,2rqkb1r/pp2n1pp/1n2Q3/2p5/8/2NPB1P1/PP2PP1P/R3K2R w KQk - 1 13,2r2b1r/pp2nkpp/1n6/1qp3B1/4Q3/3P2P1/PP2PP1P/R4RK1 b - - 1 16,base_s0,0,0,3,material
base,0,37,black,1-0,36,2656,e5d3,38,440,2216,2rqkb1r/5ppp/p3pn2/1pp1n1N1/3PN3/4P1P1/PP1B1PKP/2RQ1R2 b k - 0 18,2rqkb1r/5ppp/p3p3/1pp3N1/3Pn3/3nP1P1/PPRB1PKP/3Q1R2 w k - 0 20,base_s0,0,1,-3,positional
base,0,42,white,0-1,65,9080,h4h5,67,-4460,13540,r7/5pk1/1pR3p1/2p5/4R2P/2PP2p1/pP2B1q1/Q1K5 w - - 0 33,r7/5pk1/1p1R2p1/2p4P/4R3/2PP2p1/pP2Bq2/Q1K5 b - - 2 34,base_s0,0,1,0,positional
base,0,44,white,0-1,27,2055,g1h2,29,229,1826,r3kb1r/1bqn1pp1/pp2pn1p/8/Q2NP2P/2P5/PP1N2P1/2KR1BBR w kq - 1 14,r3k2r/1bqn1pp1/pp1Bpn1p/8/Q2NP2P/2P5/PP1N2P1/2KR1B1R b kq - 0 15,base_s0,0,0,-3,positional
base,0,45,black,1/2-1/2,42,2352,e5e4,44,-667,3019,1n2kb1r/1r3pp1/p2pb2p/3Np2P/P7/1q2BB2/1PR2PP1/3QK2R b Kk - 5 21,1n2kb1r/1r3pp1/3pb2p/p2N3P/P3B3/1q2B3/1PR2PP1/3QK2R w Kk - 0 23,base_s0,0,1,1,positional
base,0,51,black,1-0,26,2443,b7b5,32,388,2055,r4rk1/1p1q1ppp/n1ppbn2/p1b1p1B1/2P1P2N/P1NP4/1P2BPP1/R2Q1RK1 b - - 3 13,r4rk1/2n2p1p/2qpbp2/p1b1p3/4P2N/P1NP4/1P2BPP1/R2Q1RK1 w - - 0 17,base_s0,0,0,1,positional
base,0,52,white,0-1,33,3861,h7g6,53,9,3852,r3k2r/1pq1b2B/2p1bp2/1pnn4/3N4/P3P3/1BQ2PPP/RN2K2R w KQkq - 0 17,r7/1p2n3/2p1k3/1p6/n7/P3P3/2QR1Pq1/4KN2 b - - 3 27,base_s0,0,1,4,material
base,0,55,black,1-0,36,3509,f6d7,38,-597,4106,Q1b2k1r/Rpq1ppbp/3p1np1/1P6/4P3/3BB2P/1PP2PP1/6K1 b - - 1 18,Q1b2k1r/Rpq1ppbp/1n1p2p1/8/4P3/3BB2P/1PP2PP1/6K1 w - - 0 20,base_s0,0,0,-1,positional
base,0,56,white,0-1,15,2848,f1d3,35,214,2634,rnbqk1nr/1p3ppp/p1p2b2/3P4/3P4/2N2N2/PP3PPP/R1BQKB1R w KQkq - 1 8,r4rk1/1p2npp1/pqn2b1p/3p4/3P1B2/P2B1P2/1PQ1NP1P/3RR1K1 b - - 0 18,base_s0,0,0,1,positional
base,0,59,black,1-0,34,2321,b4c4,50,-114,2435,r3k1r1/1p2bp1p/2npbnpB/p1p5/NqP5/2N3PP/P3PPB1/R2QK2R b KQq - 11 17,3nk1r1/1p3p2/r2pbb2/p1p1n1pp/N1q5/P1N1B1PP/5PB1/1R1QR1K1 w - - 0 26,base_s0,0,0,-2,positional
base,0,63,black,1/2-1/2,32,5043,b6e6,52,272,4771,r4knr/pp2bppp/1q2N3/1N1pn3/QP6/2P1B2P/5PP1/R3K2R b KQ - 0 16,1B3knr/pp2bp1p/1n6/QN4p1/1Pqp4/7P/5PP1/R4K1R w - - 10 27,base_s0,0,0,1,positional
base,0,65,black,1-0,56,5213,c5c6,70,-10112,15325,N4rk1/3R3p/p1P1ppn1/1pq2p2/1P6/7P/4BbP1/Q3NK2 b - - 0 28,3r3k/2R2Q1p/5pn1/pp2pp2/1P5q/7P/4BKP1/4N3 w - - 4 36,base_s0,0,1,-1,positional
base,0,66,white,0-1,59,4171,c4e3,71,-880,5051,r4b1r/2p2k2/bp2Rp2/3n1B2/p1NP2pp/1P5P/P4PPB/4R1K1 w - - 0 30,r1b5/5k2/1BR2p2/3n3r/3P2Np/b2B3P/1p3PP1/4R1K1 b - - 2 36,base_s0,0,0,-1,positional
base,0,67,black,1/2-1/2,74,7269,a5a4,86,0,7269,4k3/2p4r/2N1p3/pR3p1p/3K1Np1/1p4P1/r4PP1/8 b - - 1 37,3R4/2p4k/2N1p2r/4Kp1p/6p1/pp1N2P1/5PP1/r7 w - - 4 44,base_s0,0,1,0,positional
