fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
8/6p1/3K4/5k1p/8/8/8/8 b - - 1 90,0.0,-3.05,-5.716,0.0,calm,adveg,val
5k2/1p2r3/p1p2p2/P5p1/1R4Pp/5K2/P4P2/3B4 w - - 1 44,0.0,2.5,-0.791,0.0,calm,endgame,val
8/3R4/p3k2p/1r1p2b1/7p/8/PPR2PK1/8 w - - 6 47,0.0,1.52,-0.1,0.0,diverse,endgame,val
1k1r4/8/1prp3p/6p1/6B1/8/6RP/Q5NK b - - 0 43,1.65,9.46,11.653,1.65,calm,endgame,train
1k1r4/3p2Q1/1pr4p/6p1/6B1/q7/6RP/3R2NK b - - 9 41,1.24,5.56,7.289,0.0,target,midgame,val
r2k1r2/2pp2pp/ppn1p3/2Pn1q2/1P1P4/P3PN2/Q2BB1KP/R5R1 w - - 3 24,-4.14,2.32,-2.452,-4.14,diverse,opening,val
r1b1kbnr/1p3pp1/p1npp2p/q7/3PP2P/4B3/PP1NNPP1/2RQKB1R b Kkq - 4 9,0.0,0.87,-0.027,0.0,calm,opening,val
8/1k5p/1p4p1/5p2/3p2Pb/3PnPB1/1P5r/4K1R1 b - - 4 37,-4.67,-8.42,-9.226,0.0,target,endgame,val
2k3r1/2pp2r1/1p2p3/p3Pp1p/2PQnP2/P1B1P1pq/2P1B2P/R3K2R w - - 2 27,-1.62,-0.97,0.24,-1.62,diverse,midgame,val
2r3k1/4bpn1/6p1/3qPbPp/Qn3B1P/2PP1N2/1K1N4/R4R2 b - - 0 34,-3.42,-0.81,-2.699,-3.42,diverse,opening,train
8/5p1k/4p1p1/pp2P3/5K1p/P6P/8/8 b - - 2 66,0.0,-4.22,-7.315,0.0,diverse,adveg,val
8/8/4k3/2pR4/2P1pp2/1P6/4K3/8 w - - 4 70,0.0,4.91,7.53,0.0,diverse,adveg,train
8/1pk1r3/p1p2p2/P5p1/6Pp/8/PRB2PK1/8 w - - 7 47,0.0,2.02,-0.651,0.0,diverse,endgame,train
6k1/6p1/3b2Q1/p2Pp1pP/8/4Pq2/PP6/6KR w - - 4 37,-2.57,0.0,6.687,0.0,target,endgame,train
2b5/1p3k2/2r2B2/3R1P2/8/2P2P1p/PK6/4R3 w - - 0 32,0.0,6.81,11.043,0.0,calm,endgame,train
5bk1/3r4/2R1p3/4Pp2/rP4pP/8/3B1P2/4R1K1 w - - 1 40,0.0,0.33,2.459,0.0,diverse,endgame,train
2r3k1/4bp2/4n1p1/3qPbPp/Q4n1P/2P2N2/3N4/2RK1R2 b - - 3 37,-2.7,-8.9,-7.051,-2.7,diverse,opening,train
rn1qn1k1/1p3pp1/3bb2p/4p1P1/3p4/3P1N2/PPPBQP1P/1NKR3R b - - 1 17,0.0,-3.66,3.057,0.0,diverse,opening,train
8/3k4/7P/2p5/4P3/1P2P3/4K3/8 b - - 0 43,0.0,6.26,8.361,0.0,calm,adveg,train
8/3n4/2p1p3/5p1k/2KP4/8/8/8 b - - 1 61,0.0,-6.5,-11.104,0.0,diverse,adveg,train
7R/3k4/4pn2/2p2p2/P1Pp4/1P3K2/8/8 w - - 3 53,0.0,1.88,-1.179,0.0,diverse,adveg,train
5k2/1p1r1pp1/2p5/P7/2P1P1NP/R4Pq1/8/5B1K w - - 2 46,-2.16,-5.3,-5.328,0.0,target,endgame,train
6k1/8/2R1p3/4Pp1P/1P3bp1/r7/2R2P2/3rB1K1 w - - 7 45,-2.79,-1.31,-1.869,0.0,target,endgame,train
3r2k1/5pp1/p3b3/P7/7P/4r1bP/6B1/R5KR w - - 0 38,-1.86,-7.44,-7.994,0.0,target,endgame,train
r3kb2/5p2/pB1ppn1p/7p/4b3/5n2/PP2NPB1/2RK3R w - - 3 31,-1.17,0.67,-4.322,-1.17,diverse,midgame,train
8/2p2p2/4k3/8/7R/7P/6PK/8 w - - 1 60,0.0,6.27,10.206,0.0,diverse,adveg,train
3B4/5pk1/2B3p1/p3n2p/2p4P/P2p2P1/1n1K1P2/8 w - - 4 46,-3.59,0.0,-6.013,0.0,target,adveg,val
1r1r2k1/1p3qp1/8/pPN2b1p/4pQ1P/P3P3/5PPR/2R2K2 b - - 1 28,0.0,-3.52,2.174,0.0,calm,midgame,val
5rk1/1p4b1/2p3bp/p1Pp4/P2Pp3/PN2Pp2/2KBq3/1RR4B b - - 3 35,-3.6,-7.14,-10.066,-3.6,working,midgame,val
