fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
1kr5/3n4/q3p2p/p2n2p1/PppB1P2/5BP1/1P2Q2P/3R2K1 w - - 0 1,0.12,0.051,-0.069,0.0,quiet_neg,midgame,train
1q4k1/5p1p/p1rprnp1/3R4/N1P1P3/1P6/P5PP/3Q1R1K w - - 0 1,0.09,1.148,1.058,0.0,quiet_neg,midgame,train
1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - - 0 1,0.1,-0.329,-2.049,-1.62,quiet_neg,midgame,train
1r4k1/p1rqbp1p/b1p1p1p1/NpP1P3/3PB3/3Q2P1/P4P1P/3RR1K1 w - - 0 1,0.11,0.871,0.761,0.0,quiet_neg,opening,train
1rbqnrk1/6bp/pp3np1/2pPp3/P1P1N3/2N1B3/1P2Q1BP/R4R1K w - - 0 1,0.69,1.021,0.331,0.0,mid,opening,train
2b2rk1/2qn1p2/p2p2pp/2pPP3/8/4NN1P/P1Q2PP1/bB2R1K1 w - - 0 1,0.56,0.696,0.136,0.0,mid,midgame,train
2q5/1pb2r1k/p1b3pB/P1Pp3p/3P4/3B1pPP/1R3P1K/2Q5 b - - 0 1,-0.13,0.029,0.699,0.54,quiet_neg,midgame,train
2r2rk1/3q3p/p3pbp1/1p1pp3/4P3/2P5/PPN1QPPP/3R1RK1 b - - 0 1,0.47,0.748,0.278,0.0,mid,midgame,train
r2qkb1r/1b1n1ppp/p3pn2/1pp5/3PP3/2NB1N2/PP3PPP/R1BQ1RK1 w kq - 0 1,0.19,0.961,0.771,0.0,quiet_neg,opening,train
3Rb3/5ppk/2r1r3/p5Pp/1pN2P1P/1P5q/P4Q2/K2R4 b - - 0 1,-0.64,2.305,2.945,0.0,mid,midgame,train
3r1bkr/2q3pp/1p1Npp2/pPn1P3/5B2/1P6/2P2PPP/R2QR1K1 w - - 0 1,0.98,3.516,2.536,0.0,attack,opening,train
4k3/r2bbprp/3p1p1N/2qBpP2/ppP1P1P1/1P1R3P/P7/1KR1Q3 w - - 0 1,0.79,1.354,0.564,0.0,attack,opening,val
4rrk1/p6p/2q2pp1/1p6/2pP1BQP/5N2/P4PP1/2R3K1 w - - 0 1,0.66,1.908,1.248,0.0,mid,midgame,train
7r/3nkpp1/4p3/p1pbP3/1r3P1p/1P2B2P/P2RBKP1/7R b - - 0 1,-0.09,0.53,0.62,0.0,quiet_neg,endgame,train
b2rrbk1/2q2p1p/pn1p2p1/1p4P1/2nNPB1P/P1N3Q1/1PP3B1/1K1RR3 w - - 0 1,-0.1,0.964,1.064,0.0,quiet_neg,opening,train
r1bqr2k/pppn2bp/4n3/2P1p1p1/1P2Pp2/5NPB/PBQN1P1P/R4RK1 w - - 0 1,0.08,1.621,1.541,0.0,quiet_neg,opening,val
r2q1rk1/pp2b1pp/1np1b3/4pp2/1P6/P1NP1BP1/2Q1PP1P/1RB2RK1 w - - 0 1,0.12,-0.318,-0.438,0.0,quiet_neg,opening,train
r3k2r/ppq2p1p/2n1p1p1/3pP3/5PP1/2P1Q3/PP2N2P/3R1RK1 b k - 0 1,-0.14,0.57,0.71,0.0,quiet_neg,midgame,val
r4r2/1p2pbk1/1np1qppp/p7/3PP2P/P1Q2NP1/1P3PB1/2R1R1K1 w - - 0 1,0.1,1.364,1.264,0.0,quiet_neg,opening,train
r4rk1/pbq2p2/2p2np1/1p2b2p/4P3/2N1BPP1/PPQ1B2P/R2R2K1 b - - 0 1,-0.17,1.021,1.191,0.0,quiet_neg,opening,train
1b1r4/3rkp2/p3p2p/4q3/P5P1/2RBP3/P1Q4P/1R3K2 b - - 0 1,-2.46,-1.398,-0.198,-1.26,attack,midgame,train
1r1n1rk1/3qp2p/P2p2p1/1p6/5pP1/1p3P1P/5PB1/R1QR2K1 w - - 0 1,-0.17,-3.021,-2.851,0.0,quiet_neg,midgame,train
1r3k2/8/R7/4pPP1/P1p5/1nP5/R5P1/3rB1K1 w - - 0 1,1.95,8.432,6.482,0.0,attack,endgame,train
1r6/8/1r5p/p2pk3/4p3/2P4P/RP2B1n1/1RK5 b - - 0 1,-0.06,-3.943,-3.883,0.0,quiet_neg,endgame,train
2r1q2k/7p/p1np1P1P/8/1pP2R2/8/PP1Q4/R1KN2r1 b - - 0 1,1.01,1.938,0.928,0.0,attack,midgame,val
2r3k1/1b1n1npp/1pq2p2/8/1P1QP3/6P1/1B1NBP1P/3R2K1 w - - 0 1,0.21,2.726,2.516,0.0,quiet_neg,midgame,train
3b2k1/1p1b4/4p2B/1n1p1p2/pN6/P2P4/1PR3PP/7K w - - 0 1,0.59,2.87,2.28,0.0,mid,endgame,train
