fen,target_ks,target_total,our_total_base,our_ks_base,tier,phase_bucket,split
4r3/pp2rk2/2pR1p2/6p1/P3R1Pp/5K2/P1B2P2/8 w - - 3 37,0.0,3.03,0.703,0.0,passer_blowup_guard,endgame,train
5k2/pp2r2Q/2n2q1p/3p2p1/8/BN4P1/P4P1P/4R1K1 b - - 4 33,0.0,7.35,6.369,0.0,passer_control,midgame,train
2k5/2rp4/1pP4p/6p1/5r2/4qN2/2Q1B1RP/5R1K b - - 0 36,0.0,4.34,7.717,0.0,passer_under_fire,midgame,train
6k1/2R5/KN6/P4r2/8/8/8/8 b - - 6 85,0.0,5.31,9.555,0.0,passer_blowup_guard,endgame,train
8/8/pk5p/5R2/1r5p/1P1R1PbK/P7/8 b - - 4 62,0.0,4.77,0.591,0.0,passer_blowup_guard,endgame,train
8/P4pk1/3q3p/3P1p2/8/7P/5K2/3R4 b - - 0 43,0.0,-5.18,-7.873,0.0,passer_under_fire,endgame,val
8/6p1/2BkPb1p/3P1P2/pK2b1P1/7P/8/8 w - - 5 73,0.0,-3.77,-0.051,0.0,passer_blowup_guard,adveg,train
r2qr1k1/p4ppp/b1n1pb2/2Pp4/N7/3p1NPP/P4P2/1RBQKB1R b K - 1 15,0.0,-2.9,-0.313,0.0,passer_under_fire,opening,train
8/8/3k2p1/PP1p4/3Kn3/4P1P1/7P/8 w - - 2 48,0.0,4.76,2.314,0.0,passer_under_fire,adveg,train
5k2/2R5/6p1/5r2/8/6K1/8/8 b - - 3 56,0.0,-0.15,-1.099,0.0,passer_control,adveg,train
2r3k1/4bp2/4n1p1/3qPbPp/Q4n1P/2P2N2/3N4/R2K1R2 w - - 2 37,0.0,-7.01,-8.166,0.0,passer_under_fire,opening,train
8/p4p2/Pp2p3/2p5/8/1PPk4/3P4/4K3 b - - 5 44,0.0,-8.47,-1.544,0.0,passer_under_fire,adveg,train
7R/8/3B2k1/8/1P3P2/2r5/5K1P/8 b - - 3 63,0.0,6.0,12.528,0.0,passer_blowup_guard,endgame,train
8/6k1/1n3pp1/P6p/1BpnB2P/3p2P1/5P2/4K3 b - - 2 53,0.0,2.82,-2.893,0.0,passer_blowup_guard,adveg,val
4r1k1/1p3p2/6p1/1P5n/P1P5/5q2/2Q4p/1K1R4 b - - 0 55,0.0,-7.34,-7.473,0.0,passer_control,midgame,train
8/p7/Pp6/2p5/4pp2/1PPk4/3P4/3K4 w - - 0 48,0.0,-10.73,-4.929,0.0,passer_under_fire,adveg,train
8/4k1p1/4P2p/p4B2/PbrP4/5bP1/5P1P/1R4K1 w - - 9 51,0.0,-4.83,-1.456,0.0,passer_blowup_guard,endgame,val
8/1p6/pb4k1/8/1P4PB/P1Nr3p/2n4P/5R1K b - - 2 47,0.0,-1.21,-2.799,0.0,passer_under_fire,endgame,train
