fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
8/3k4/p2P4/1p2K3/6p1/P4p2/8/8 w - - 0 48,vssf1_win_d8,128,-7.686,0.0,-6.96,0.68,quiet,1,2,0,0,-8.16
8/3k4/R7/2p1p3/2P2p2/1P3K2/3p4/8 w - - 0 65,vssf_2700,117,3.863,0.0,1.45,1.92,quiet,2,1,0,0,7.11
6k1/6pp/1N2pp2/P7/2K5/8/4n3/8 b - - 2 40,vssf_2700,117,-7.055,0.0,-1.43,-0.89,quiet,2,0,0,0,5.15
6B1/2k5/2p3P1/5R2/1p6/p6p/2r2P1K/8 w - - 0 66,vssf_2700,101,-2.633,0.0,2.43,1.46,quiet,1,0,0,0,14.33
2k3r1/3p2r1/1p2p3/p1p1P3/2P1pP2/P1B1P2p/2P1B1p1/2K3R1 w - - 0 34,vssf_2700,85,-4.657,0.0,-5.37,0.29,quiet,0,0,0,0,-6.47
7k/1p4p1/8/1Prr3p/P3q2P/4P3/5Qb1/4R1K1 b - - 1 40,vssf_2700,48,-17.248,-3.24,-9.11,0.0,quiet,2,0,0,0,-6.92
7k/1p4p1/8/1Prrq2p/7P/PQ2P2b/6R1/4R1K1 w - - 1 38,vssf_2700,37,-7.59,-2.16,-4.77,-1.14,quiet,2,1,0,0,-5.66
2k3r1/3p2r1/1p2p3/p1p1Pp1p/2P1QP2/P1B1P2q/2P1B1pP/R3K1R1 b - - 0 29,vssf_2700,32,-4.25,-0.18,8.32,0.0,quiet,1,1,0,0,-7.52
2r5/1k4bp/1p1r2p1/5p2/1n1p1B2/3P1PP1/1Pn1P1BP/1N1K3R w - - 0 27,vssf_2700,64,-1.468,0.0,-5.9,-1.05,ks,3,0,0,0,-6.22
r4rk1/1pp2ppp/1n2p3/p2q4/1n1PN3/4PN2/PP3PPP/R2QK2R w - - 4 17,vssf_2700,21,-0.689,0.0,-1.64,-1.07,quiet,0,0,0,0,-0.1
r2k1r2/2ppq1pp/ppn1p3/2Pn4/1P1P1p2/P3PN2/Q3BPKP/R1B3R1 b - - 4 21,vssf_2700,16,1.038,-1.44,4.82,0.07,quiet,1,0,0,0,3.38
r2k1r2/2pp2pp/ppnqpn2/5p2/1PPPb3/P3P3/Q2NBPPP/R1BR2K1 b - - 4 17,vssf_2700,10,-0.357,0.0,1.94,0.13,quiet,2,0,0,0,2.65
3qkb2/rb3p2/p2ppn1p/3P3p/N7/1Q2Bn2/PP3Pr1/2RK1B1R w - - 4 26,vssf_2700,5,-1.847,0.0,-5.51,-0.71,quiet,1,0,0,0,1.53
2rqk2r/1p2bpp1/p1npbn1p/4p3/Q3P2P/2PBBN2/PP1N1PP1/2K1R2R w k - 12 14,vssf_2700,0,0.997,0.0,0.55,-0.48,quiet,0,0,0,0,-1.74
8/5pk1/4p1p1/6Pp/7P/p7/4K3/8 w - - 0 61,vssf1_win_d8,128,-7.94,0.0,-6.25,-1.02,quiet,0,1,0,0,-99.0
8/7k/5B2/4p2P/5pp1/8/4KP2/3r4 b - - 9 68,vssf_2700,112,-5.295,0.0,-3.14,-0.53,ks,3,2,0,0,-5.69
4k3/1p2r3/p1p2p2/P5p1/1R4Pp/8/P1B2PK1/8 b - - 4 45,vssf_2700,101,0.909,0.0,2.53,-0.32,quiet,1,0,0,0,2.26
r4b2/3k1p2/p2p3p/7p/3pR3/8/PP3P2/2RK4 w - - 1 37,vssf_2700,90,0.809,0.0,0.03,0.36,quiet,0,2,0,0,1.42
4k3/6R1/bp6/5P2/2rB4/2P2P1R/PK6/8 b - - 4 36,vssf_2700,85,12.516,0.0,8.79,0.0,quiet,1,1,0,0,99.0
8/1k4bp/1p1B2p1/5p2/3p4/3PnPP1/1P1r2BP/4K2R b - - 1 32,vssf_2700,85,-0.248,0.0,-3.84,-9.1,quiet,2,1,0,0,-7.25
5rk1/1p6/2p3bp/p1Pp4/P3p3/P3P3/1KNq1pB1/1RR5 b - - 1 39,vssf_2700,58,-10.46,-1.32,-9.09,-0.43,quiet,1,0,0,0,-6.51
2q1r1k1/pp5r/2n1pQ1p/3B2p1/8/1N4P1/PB3P1P/R5K1 b - - 3 28,vssf_2700,32,3.68,2.25,6.2,6.55,quiet,0,1,0,0,5.03
3rk2r/3nnpbp/4p1p1/pPp5/1p2P3/4B1P1/PP3PBP/1R1RN1K1 b k - 0 17,vssf_2700,53,0.655,0.0,1.27,0.26,quiet,0,1,0,0,1.75
rnbqnrk1/p4pp1/1pp1p3/4P1pQ/2P4P/8/PP1N1PP1/2KR1B1R b - - 1 14,vssf_2700,16,-1.489,0.99,-2.24,0.52,quiet,1,1,0,0,4.7
r3k2r/pp1nnpbp/2b1p1p1/2p5/4PB2/N1P3P1/PP3PBP/R2RN1K1 b kq - 2 12,vssf_2700,42,0.835,0.0,-0.02,0.26,quiet,0,1,0,0,0.78
2q1kb2/rb3p2/p2ppn1p/3Pn2p/N1B5/1Q2B3/PP3Pr1/2R1K2R w K - 0 24,vssf_2700,5,-4.019,-1.98,-7.86,-2.58,quiet,1,0,0,0,0.0
r1bqkbnr/1p3pp1/p1np3p/4p3/4P2P/2P1BN2/PP3PP1/RN1QKB1R w KQkq - 2 9,vssf_2700,0,0.661,0.0,0.69,-0.03,quiet,0,0,0,0,0.03
5k2/4pp1p/8/1pP3P1/p5P1/8/8/5K2 w - - 0 49,vssf1_win_d8,128,-6.083,0.0,-4.8,-0.3,quiet,0,0,0,0,-5.39
8/6k1/6p1/5p1p/5P1P/4P1K1/r7/8 w - - 8 58,vssf_2400,117,-10.121,0.0,-6.14,-0.34,ks,3,0,0,0,-11.63
5k2/5p2/3P3p/5p2/8/3R3P/q7/4K3 b - - 5 50,vssf_2700,96,-10.296,0.0,-6.94,0.0,quiet,1,1,0,0,-5.83
7R/8/8/4n3/8/2P1k3/3r4/2K5 b - - 32 55,vssf_2700,101,-6.15,0.0,-0.92,-3.7,quiet,2,2,0,0,-0.23
6k1/6p1/3b2Q1/p2Pp1pP/8/4Pq2/PP6/6KR w - - 4 37,vssf_2700,69,7.873,0.0,1.92,-2.57,quiet,1,1,0,0,0.0
8/1pb5/p5k1/8/1P4PB/P6p/2nrN2P/5R1K w - - 5 49,vssf_2700,85,1.037,0.0,1.16,5.16,ks,2,3,0,0,-0.35
2k5/8/R1p1pBn1/p1p2p1B/NrP5/1P2b1p1/P7/5K2 b - - 0 41,vssf_2700,80,1.022,0.0,3.51,1.63,quiet,2,1,0,0,0.66
2nr1b2/2k2pr1/Qn6/P2pP1p1/2pP2B1/2P3P1/3B4/6K1 b - - 0 34,vssf_2700,58,1.788,1.65,0.39,1.53,ks,0,4,0,0,1.97
3r3k/p2P2p1/q1p2rn1/4p2p/P3Qp1P/3R1N1B/5PP1/2R3K1 b - - 0 35,vssf_2700,26,6.372,0.0,5.74,-0.02,quiet,0,0,0,0,6.35
r4bk1/q1np1r2/4p2p/1p2Ppp1/1PP5/2BB1P2/4QP1P/1R2R1K1 w - - 0 25,vssf_2700,21,2.637,0.0,0.78,0.22,quiet,1,0,0,0,0.72
rnbq1rk1/p5n1/1pp1p1pQ/4P3/2P3p1/8/PP1N1PP1/2KR1B1R w - - 0 18,vssf_2700,16,-0.03,2.19,11.08,14.55,quiet,1,1,0,0,12.58
r3k2r/p2nnpbp/2b1p1p1/1pp5/4P3/N1P1B1P1/PP3PBP/R2RN1K1 b kq - 1 13,vssf_2700,42,0.61,0.0,0.22,0.23,quiet,0,1,0,0,0.75
r1rb2k1/3q1pp1/2npb2p/1B2n3/3QP2P/2P1B3/PP3PP1/1KN1R2R b - - 1 23,vssf_2700,5,-4.989,0.0,-2.03,-1.01,quiet,2,0,0,0,-5.38
rn2kb1r/pp1bnp1p/4p1p1/q1pp4/4P3/N1PPBNP1/PP3P1P/R2QKB1R w KQkq - 4 8,vssf_2700,0,0.774,0.0,0.07,0.08,quiet,0,0,0,0,0.61
8/p2kp3/p7/8/7p/8/6K1/8 w - - 0 57,vssf1_win_d8,128,-8.523,0.0,-3.74,-0.84,quiet,1,0,0,0,-11.5
8/p7/1p1P1k2/8/Pp2p3/1P2P3/2KP2r1/8 b - - 0 53,vssf_2400,117,-7.371,0.0,-5.53,0.67,ks,3,1,0,0,-11.59
3k4/3P1p2/7p/5p2/8/2q4P/3R4/4K3 w - - 5 54,vssf_2700,96,-11.929,0.0,-6.95,0.0,quiet,1,2,0,0,-5.33
8/6k1/1R6/p3r3/P1p5/2N1p3/4K3/8 w - - 3 55,vssf_2700,101,1.397,0.0,2.26,1.39,ks,3,1,0,0,3.46
7k/6p1/3b4/p2qpQpP/8/4P3/PP6/5RK1 b - - 5 42,vssf_2700,69,2.88,0.0,3.92,3.26,quiet,1,1,0,0,3.97
4r3/1p3p1k/6p1/1P5n/2P5/5P2/P3q2p/1KQR4 b - - 1 53,vssf_2700,58,-6.553,0.0,-7.13,-0.7,quiet,1,1,0,0,-6.8
2b5/1p2bk1p/1r5B/5P2/p5P1/2P5/PP3P1P/2KRR3 w - - 6 25,vssf_2700,80,7.088,0.0,7.14,1.37,ks,1,3,0,0,5.76
2nr1b2/5pr1/Qnk5/3pP1p1/P1pP2B1/2P3P1/3B4/6K1 b - - 0 33,vssf_2700,58,1.786,2.43,2.56,6.36,ks,0,5,0,0,2.22
r7/1p2kr2/p2p2p1/q3n3/2Pp2B1/4b2Q/PPK5/4R2R w - - 5 25,vssf_2700,26,-17.198,-5.4,-15.37,-11.15,ks,4,1,0,0,-4.96
r2k1b1r/1p2p1p1/p2qb2p/2p1Np2/Q2P1P2/2P5/P3PPBP/R4RK1 b - - 0 17,vssf_2700,21,4.948,2.88,6.82,5.39,quiet,0,2,0,0,4.84
1R1qr1k1/p4pp1/2n4p/2Pp4/N1b3Pb/P2p3P/Q4PB1/2B2NK1 b - - 0 24,vssf_2700,26,-3.862,0.0,-1.4,-0.68,quiet,1,0,0,0,-5.64
r5k1/pr3pbp/q5p1/3n2B1/2Np4/3P1NPB/nP1Q1P1P/3K1R1R b - - 1 23,vssf_2700,5,4.366,-0.93,-0.41,-4.21,quiet,1,0,0,0,-5.2
rn1qk2r/pp3pp1/3bbn1p/3pp3/8/1BNP1N2/PPP2PPP/R1BQK2R w KQkq - 2 10,vssf_2700,0,-0.427,0.0,-1.09,0.01,quiet,0,0,0,0,-0.92
8/8/1K2k3/2P5/8/8/8/8 b - - 0 53,vssf1_win_d8,128,4.593,0.0,47.97,0.0,quiet,0,1,0,0,5.04
8/1p3pp1/7p/2k2P2/P5P1/1P3P1P/2K5/4b3 b - - 8 38,vssf_2400,122,-1.993,0.0,-2.2,0.0,quiet,1,2,0,0,-4.51
1b6/1p3p1p/2k2q1P/1p4p1/3R1p2/P1P4P/1P6/2K5 b - - 1 43,vssf_2400,90,-17.584,0.0,-11.54,0.0,quiet,0,1,0,0,-8.58
7k/6p1/3bQ3/p2Pp1pP/8/4Pq2/PP6/6KR w - - 6 38,vssf_2700,69,7.728,0.0,2.42,-2.91,quiet,1,1,0,0,0.0
8/4kbR1/1pr4p/pNp2p2/5P2/P1N1P2P/8/4K3 w - - 6 34,vssf_2700,90,2.752,0.0,3.37,1.08,quiet,0,2,0,0,3.96
5k2/1p1r1pp1/2p5/7N/PpP4P/1n2PPP1/1Pb1BR2/4K3 w - - 1 29,vssf_2700,85,3.326,0.0,1.44,-1.13,ks,3,1,0,0,-0.91
3k2r1/5ppp/4p3/2Qbq3/2N3R1/8/PP2B3/4K3 b - - 2 31,vssf_2700,48,4.956,2.88,3.9,3.11,quiet,1,1,0,0,3.95
r1k3r1/1p1n3p/2n1p1p1/pN1p1p2/1P4P1/2P1PP1B/R3K2P/R7 b - - 0 21,vssf_2700,64,-3.25,0.0,-0.84,0.06,quiet,0,1,0,0,-0.38
k1r4r/1p2Pp2/p1p2Ppb/2q5/2P4p/1PB2Q2/P3RN1P/3R1K2 b - - 11 36,vssf_2700,26,5.613,-0.75,7.24,-1.85,quiet,1,0,0,0,7.13
2r2k1r/1p1qb1p1/p5Q1/3p3p/1P1n4/2P5/P4PPP/RNB1R1K1 b - - 4 20,vssf_2700,21,4.229,2.52,1.61,1.45,quiet,0,2,0,0,0.03
r3r1k1/pp3ppp/2pb1n2/q2pp3/4P1b1/1BPP1N2/PP3PPP/RN1QR1K1 w - - 0 13,vssf_2700,10,-2.146,0.0,-1.48,-0.19,quiet,0,0,0,0,-0.34
rnbqnrk1/p2p2pp/1p2p3/2b1Pp2/2P5/3B1N2/PP3PPP/RNBQ1RK1 w - - 0 10,vssf_2700,0,0.749,0.0,1.49,0.34,quiet,1,0,0,0,0.7
8/p4p2/Pp2p3/2p5/4k3/1PP5/3P4/5K2 b - - 3 43,vssf1_win_d8,128,-2.299,0.0,-2.0,-0.48,quiet,0,2,0,0,-5.15
8/6k1/5p2/4p3/2PPP3/4KP2/8/7r w - - 1 65,vssf_2400,117,-5.351,0.0,-3.24,-0.12,quiet,1,0,0,0,-3.75
8/r7/1pk5/p4p1p/P1Pp3P/1r4P1/6K1/8 w - - 0 43,vssf_2400,106,-20.438,0.0,-12.77,0.0,quiet,1,2,0,0,-99.0
