fen,src,phase_score,our_total,our_ks,sf11_total,sf11_ks,geo_class,kzone_w,kzone_b,in_check_w,in_check_b,sf18
8/6p1/3K4/5k1p/8/8/8/8 b - - 1 90,vssf_2700,128,-5.716,0.0,-2.55,0.23,quiet,1,1,0,0,
7r/1p5P/1P6/5k2/8/7K/8/8 b - - 14 91,vssf_2700,117,-10.208,0.0,-3.65,-0.94,quiet,1,1,0,0,
6k1/6pp/1N2pp2/P7/2K5/8/4n3/8 b - - 2 40,vssf_2700,117,-7.515,0.0,-1.43,-0.89,quiet,2,0,0,0,
5k2/1p2r3/p1p2p2/P5p1/1R4Pp/5K2/P4P2/3B4 w - - 1 44,vssf_2700,101,-0.791,0.0,2.0,-0.19,ks,3,0,0,0,
8/3R4/p3k2p/1r1p2b1/7p/8/PPR2PK1/8 w - - 6 47,vssf_2700,90,-0.1,0.0,1.05,0.86,quiet,1,1,0,0,
2k3r1/3p2r1/1p2p3/p1p1P3/2P1pP2/P3P3/2P1BBpp/2K3R1 b - - 1 35,vssf_2700,85,-9.185,0.0,-8.17,0.17,quiet,0,0,0,0,
1k1r4/8/1prp3p/6p1/6B1/8/6RP/Q5NK b - - 0 43,vssf_2700,64,11.653,1.65,11.55,0.0,quiet,0,2,0,0,
1k1r4/3p2Q1/1pr4p/6p1/6B1/q7/6RP/3R2NK b - - 9 41,vssf_2700,32,7.289,0.0,6.45,1.24,quiet,0,0,0,0,
2k3r1/1bppq2r/1p2p3/p1n1Pppp/2PQ4/P1B1PP2/2P1B1PP/3R1RK1 b - - 3 20,vssf_2700,21,0.411,0.0,-0.23,0.28,quiet,0,1,0,0,
r2k1r2/2pp2pp/ppn1p3/2Pn1q2/1P1P4/P3PN2/Q2BB1KP/R5R1 w - - 3 24,vssf_2700,16,-2.452,-4.14,1.82,-2.62,quiet,1,0,0,0,
r4rk1/1ppb1ppp/2nqpn2/pB6/Q2P4/4PN2/PP1N1PPP/R3K2R b - - 3 13,vssf_2700,10,-0.237,0.0,-1.11,-0.73,quiet,0,0,0,0,
1r3rk1/p2Qnpbp/2n3p1/q1p5/3P4/N2PBNP1/PP3PBP/2KR3R b - - 0 14,vssf_2700,5,6.859,-1.44,4.74,-0.98,quiet,2,0,0,0,
