tag,ply,pieces,our_pawns,sf_pawns,gap_pawns,our_depth,fen
placement_bundle,80,14,-6.716,4.330,-11.046,14,6k1/1p1n3p/1P4p1/P1pRnp2/8/7P/1P6/7K w - - 0 41
placement_bundle,66,18,-4.491,6.410,-10.901,10,4r1k1/7p/qp2pPp1/2p5/2r2P1P/P2Q2P1/1K3B2/3R4 w - - 0 34
placement_bundle,63,14,6.216,-4.570,10.786,12,6k1/3R1b1p/6p1/p1p5/5P1N/2p3PP/P7/6K1 b - - 0 32
hlmr_more1_lightning,76,17,-3.938,6.690,-10.628,9,3r2k1/5R1p/p1n1p1p1/1p4N1/3p4/6P1/1q3P1P/4Q1K1 w - - 0 39
hlmr_more1_lightning,52,21,-7.516,3.040,-10.556,9,6k1/pp3pbp/6p1/1B1p2B1/1P3Q2/2r2n2/q1r2P1P/4RRK1 w - - 8 27
placement_bundle,55,22,1.977,-8.540,10.517,10,r4k2/p3qp1Q/3p4/2pP3p/2P2Pn1/8/PPB1r1PP/3R1R1K b - - 4 28
away_lightning,78,18,-7.864,2.470,-10.334,9,6k1/5p1p/p3p1pP/1r2P3/4p1KR/2BbQ1P1/5P2/5q2 w - - 0 40
placement_bundle,55,18,0.942,-9.340,10.282,11,4k3/pp3p1B/4pQ1p/2r1P3/3q1P2/1P5P/2P1b3/1K5R b - - 0 28
away_lightning,76,18,-8.716,1.140,-9.856,10,6k1/p4p1p/4p1pP/1r2P3/4p1KR/3bQ1P1/3B1P2/5q2 w - - 10 39
placement_bundle,61,16,4.940,-4.370,9.310,13,6k1/r2R1b1p/3R2p1/p1p5/5P1N/2p3PP/P7/6K1 b - - 0 31
placement_bundle,69,15,6.353,-2.920,9.273,11,r4k2/3R2pp/5p2/p4N2/3P4/p1P3P1/2P2PK1/8 b - - 2 35
placement_bundle,70,18,-3.350,5.890,-9.240,11,2r1r1k1/3Q3p/2p1p3/2P1Ppp1/4p1q1/4R1P1/5P2/1R4K1 w - - 4 36
placement_bundle,59,19,4.900,-4.290,9.190,10,4r3/pp3b1k/5P2/8/3nnP1B/P1P1b3/7P/RN1B1R1K b - - 0 30
placement_bundle,20,28,-1.992,7.190,-9.182,12,r1b2rk1/pp1ppp1p/2n3p1/q7/2Pb2P1/2N1Q1P1/PP2PP2/R1B1KB1R w KQ - 0 11
placement_bundle,68,19,-0.616,8.340,-8.956,11,r3r1k1/1b1Q2pp/5p2/3p4/1p1N4/2q1P2P/5PP1/4R1KR w - - 2 35
nmp_lightning,72,14,-4.510,4.260,-8.770,11,3r2k1/p1q4p/5Qp1/8/8/1P3PP1/3bR2P/5K2 w - - 6 37
placement_bundle,56,19,-7.099,1.650,-8.749,10,r4bk1/1p2q2p/p3p1p1/P6n/1P1p4/1Q1N4/5P1P/4R2K w - - 0 29
placement_bundle,89,17,3.955,-4.790,8.745,11,4r3/5pk1/1R1pp1p1/4b3/PQP4p/4q2P/6B1/5R1K b - - 1 45
placement_bundle,67,15,6.353,-2.330,8.683,13,1r3k2/6pp/5p2/p2R1N2/3P4/p1P3P1/2P2PK1/8 b - - 0 34
nmp_lightning,70,14,-4.403,4.170,-8.573,10,3r3k/p1q4p/4Q1p1/8/8/1P3PP1/3bR2P/5K2 w - - 4 36
hlmr_more1_lightning,58,19,-6.366,2.190,-8.556,9,6k1/ppr2pbp/2r3p1/3p2B1/1P3Q2/3B4/q4P1P/4R2K w - - 3 30
hlmr_more1_blitz,85,17,3.508,-4.850,8.358,11,5k2/2pb1p2/Q5pp/2Pq4/3b4/P2N2P1/4RP1P/6K1 b - - 0 43
hlmr_more1_lightning,84,16,-1.844,6.350,-8.194,12,4r1k1/7p/p1R1N1p1/Qp2p3/8/3p2P1/4qP1P/6K1 w - - 4 43
placement_bundle,71,18,2.512,-5.590,8.102,10,3k3r/4n3/1p1b1p2/p2p4/2PP1N2/4QBP1/7q/N3RK2 b - - 2 36
placement_bundle,73,17,4.132,-3.940,8.072,8,7r/2k1n3/1p1b1p2/p2B4/2PP1N2/4Q1P1/7q/N3RK2 b - - 0 37
hlmr_more1_lightning,69,16,2.292,-5.370,7.662,12,7R/1p1b1kpp/1Q2p3/3p4/8/1P1n4/3q2PP/1K3R2 b - - 2 35
placement_bundle,64,20,-4.253,3.340,-7.593,11,4r1k1/5p1p/qp2bPp1/2p5/2r2P1P/P2Q2P1/1K3B2/3RR3 w - - 6 33
ship_lightning,72,19,-4.773,2.720,-7.493,8,7k/pp6/1qbp2p1/r3p1N1/2P2r1P/1P1QP2B/8/1R4K1 w - - 3 37
placement_bundle,98,19,-0.526,6.950,-7.476,13,q2rk3/5pQ1/8/2ppP1pr/2P4p/pP5P/P7/B2R1K2 w - - 0 50
