fen_start,sf_best,sf_cp,sf_static,cat,attackers,phase_bin,subject,stm
3R1k1r/p4pp1/1pn1pq2/4b2p/1PB5/P1N1PP1P/1B3Q2/4K2R b - - 0 23,f6d8,342,,play,2,early_mid,white,b
3k1r1r/1pp5/1b1ppq1p/pP2p1pP/P3Q1P1/2PP3N/5P2/1RN2RK1 b - - 4 23,d6d5,265,206,play,2,early_mid,white,b
1r4k1/3r1ppp/2RN2q1/Q3p3/4P3/P5P1/1P2N1K1/8 b - - 0 26,d7d6,-317,19,play,2,early_mid,white,b
2b2rk1/8/p4ppn/7p/2P1Pp2/P5PP/1r1NQ1B1/3R1R1K w - - 0 28,g3f4,626,718,play,2,early_mid,white,w
5rk1/1p2q3/1Pp2bp1/2Pp3p/R2Pp2P/P1B1PbP1/2Q2P2/4K1R1 b - - 2 35,f3g4,162,155,play,2,early_mid,white,b
1r2r1k1/pp3p2/P2p1qpb/2pPp2p/4P3/1P1P1NP1/R3QP1P/4R1K1 w - - 3 34,e1b1,35,28,play,2,early_mid,white,w
4r1k1/p4pb1/1q1pb1p1/2p3N1/8/PnR1Q1PP/4PPB1/4K2R b K - 4 24,b6a5,-380,-242,play,2,early_mid,white,b
1k1r1r2/1pq2p2/8/p2PR3/P1P5/1P2Q1P1/2B5/4R1K1 w - - 1 31,e5e7,563,468,play,2,early_mid,black,w
2r1kr2/3BqpQp/1b6/p7/3P4/P3P3/5PPP/R3K2R b KQ - 0 25,e8d7,7,,play,2,early_mid,white,b
2rk3r/4q1p1/6p1/p2QP2p/P7/1PNp4/2P3PP/R6K b - - 0 23,e7d7,0,,play,2,early_mid,black,b
r5k1/1p2Qpbp/p1q1pnp1/3p1bB1/3P4/4PN1P/PP1N1PP1/3R2K1 b - - 1 18,f6d7,-115,26,play,2,early_mid,black,b
6k1/8/1prp2p1/p3p1br/P1P1Pp2/qPR2P1P/4NP2/5QK1 w - - 8 40,c3d3,-342,-163,play,2,early_mid,white,w
r4rk1/pp1n1p2/2p2q1p/8/6Q1/1P3p1P/P1P2PP1/R3R1K1 b - - 1 19,f6g5,-369,,play,2,early_mid,white,b
r2b1rk1/1q3p1p/p5p1/1pPP4/1P2P2P/2P2QP1/R7/5RK1 b - - 2 25,d8c7,13,30,play,2,early_mid,black,b
2r3k1/p1q2p1p/2Prp1p1/4b3/P2pP3/5BP1/2QB1P1P/2R3K1 w - - 1 26,c2d3,-405,-206,play,2,early_mid,white,w
r4k1r/1bq2ppp/pp2p3/4P3/P1pP4/4PQ2/2P3PP/RN3RK1 w - - 0 18,e3e4,135,161,play,2,early_mid,black,w
q2r2k1/p4ppp/1p2bn2/8/2P5/1NQnPPP1/P5BP/1K5R b - - 3 29,d3c5,-471,-479,play,2,early_mid,white,b
2r3k1/2Nbqppp/1Q1p1n2/p1p1p1B1/2P4P/PP1P1N2/R3P3/4K1R1 w - - 1 24,g5f6,741,534,play,2,early_mid,black,w
r4rk1/pp3ppp/8/3qQb2/7P/5N2/PP2B1P1/R3K2R b KQ - 1 20,d5e5,144,213,play,2,early_mid,white,b
5r1k/8/3R1bqp/rp1B1bp1/8/5QPP/5P2/4R1K1 b - - 3 48,g5g4,-221,-215,play,2,early_mid,black,b
r2r2k1/4bppp/pp2p3/2q1P3/4QP1P/2N3P1/PP6/R4K1R b - - 0 20,b6b5,-101,-125,play,2,early_mid,white,b
5r2/3q2bk/8/4p2p/4R1bP/P5P1/8/4Q1KR b - - 2 50,d7a7,-422,-451,play,2,early_mid,white,b
4k2r/p3ppb1/1p2b1p1/2q3Bp/3n4/3P1NPP/P3PPB1/2Q2K1R w k - 9 23,c1c5,-38,-60,play,2,early_mid,white,w
1r4rk/p2bQ2p/2pp4/4pp2/8/4P2P/3NN1B1/q1R1K3 b - - 9 37,a1a5,-7,-51,play,2,early_mid,white,b
r5k1/1p1b2pp/p1n1p3/5qN1/1P2Q3/2P1B2P/P5P1/3R2K1 b - - 3 21,f5e4,36,104,play,2,early_mid,black,b
1r2r1k1/p4p1p/3n1np1/2q5/2P1p3/1P2P1P1/P1Q2PBP/3R1K1R b - - 0 26,d6b7,-333,-365,play,2,early_mid,white,b
5kr1/1b3p1R/1p1qp3/pPrpN3/P2Q4/2PPR1P1/8/6K1 b - - 11 40,c5c7,378,285,play,2,early_mid,black,b
r4rk1/3qp2p/p2p1pp1/1ppP4/2P2PbP/1Q1P2P1/PP4B1/2K1R2R w - - 0 26,e1e3,-16,-53,play,2,early_mid,black,w
2r2k2/1b3p2/1p1qpQ2/pP1p4/P5r1/2PP1NP1/6R1/4R1K1 b - - 1 35,d6e7,199,144,play,2,early_mid,white,b
rb2rqk1/1p3pp1/1Pp5/p1Pp1b1p/3Qn3/P1BBPNPP/5P2/2R3KR b - - 14 24,f7f6,-190,-131,play,3,opening,white,b
r4rk1/1pq4p/p3p1p1/3pb2n/1Q2P3/2N2P2/PP1B2PP/3R1RK1 w - - 1 23,f3f4,-80,8,play,3,opening,white,w
r3k2r/1bqpbpp1/p3pn1p/2P5/1Bn5/2N1PNP1/P4PBP/R2QK2R b KQkq - 1 14,a8b8,-320,-188,play,3,opening,white,b
r1bqk1nr/1p3ppp/3bp3/pBnp4/5B2/2P1PN1P/PPQ2PP1/RN2K2R b KQkq - 2 9,e8e7,97,,play,3,opening,black,b
r2qkb1r/p3pp2/1pnpb1p1/2p1P1Np/2P3nP/P1NPB1P1/1P3PB1/R2QK2R b KQkq - 2 12,a8c8,105,55,play,3,opening,black,b
3rk2r/R3bpp1/3p1q2/1p1Pp2p/3pP3/3P1B1b/1PQB1PP1/5RK1 w k - 2 20,c2c6,246,164,play,3,opening,white,w
r3k1nr/ppqb1ppp/8/3pn3/1b1N1P2/4Q1P1/PPP1P1BP/R1B2RK1 b kq - 0 11,f7f6,56,8,play,3,opening,white,b
r2qk2r/1b1p1ppp/3bpn2/p1n5/2PB3P/P2BPN2/2QN1PP1/R3K2R w KQkq - 1 14,e3e4,-28,-15,play,3,opening,white,w
2kB1bnr/ppp2p2/4q1pp/3pPb2/4p2P/1QP3P1/PP2PPB1/RN2K2R w KQ - 0 13,b1a3,286,189,play,3,opening,black,w
