fen_start,sf_best,sf_cp,sf_static,wing,color,surplus,phase,outside,stm
rnbqk2r/p3npp1/2p2b2/2ppp2p/7P/P1NBPN2/1PQP1PP1/R1B1K2R b KQkq - 0 10,e5e4,-313,-246,qs,b,1,mid,1,b
1r5k/2p1n1rp/2qp4/p3pp2/8/1PPP1Q2/P2N1PPP/1R2R1K1 w - - 2 23,f3c6,93,8,qs,w,1,mid,1,w
6q1/5k2/p7/1p2R1p1/7p/P1NN4/1PPK4/8 w - - 0 42,c3e4,140,88,qs,w,1,eeg,1,w
r4kr1/p1RRnp2/4p2p/2p1P3/7N/2P4P/PP3PP1/6K1 b - - 2 24,e7d5,488,402,qs,w,1,eeg,1,b
r1b1k2r/3qnpb1/p1np3p/2pB2p1/4P3/5NB1/PPQ2PPP/RN1R2K1 b kq - 3 15,c6b4,-89,60,qs,b,1,mid,1,b
r1b5/1p1p3r/n1pk1Q1p/p2P4/7P/6P1/P3PPB1/5K1R b - - 0 25,d6c7,662,,qs,b,2,mid,1,b
1r3k2/5p2/1qbpp1pr/p1p1n1Np/P1P4P/1P2P3/1BQ1B1P1/1R3K1R w - - 4 26,f1f2,377,466,ks,b,1,mid,0,w
7r/3k1n1p/p2p1p2/3N4/2r4P/4PPP1/PP1p3R/R2K4 b - - 0 31,c4c1,284,230,ks,w,2,eeg,1,b
1q1k3r/r2P1p1p/ppb2p2/2bN4/2P5/P2QnNP1/1P2B2P/R3K2R b - - 4 22,a7d7,-104,-37,ks,b,1,mid,0,b
3r3k/7p/p5p1/2R2p2/P2qr3/3N4/1Q4PP/2R3K1 w - - 8 36,b2d4,279,,ks,b,1,mid,0,w
2bq1rk1/r1p2pbp/2Qp2p1/4pnN1/p1P5/P2P2P1/1P2PPBP/R1B1K2R w KQ - 1 15,c6b5,-225,-98,qs,w,1,mid,1,w
6k1/pb4p1/4p3/7p/6p1/P1Qq4/1P2rP1P/6KR w - - 0 31,c3d3,-584,-477,ks,b,2,mid,0,w
2K2k2/p4pp1/4p3/1P6/P3qP2/6P1/1R6/8 b - - 0 45,e4a4,-541,-344,qs,w,1,eeg,1,b
3r2k1/4r1b1/3q1p1p/1p5N/2p5/P1Q1P2b/1P2NP1P/2R1K1R1 b - - 1 31,d6h2,174,114,ks,w,1,mid,0,b
r2r2k1/p1n3bp/3q2p1/P1Nbp3/2B5/1Q2B3/1P4PP/R3R1K1 w - - 0 27,a1d1,414,176,qs,w,1,mid,1,w
1r1q1rk1/p3nppp/2p5/3p4/1Q2P3/8/PP1N1PPP/R4RK1 w - - 2 15,b4c3,13,24,qs,b,1,mid,1,w
r1nr2kb/1pq2p2/p1p3pp/P1QpP3/2P3bP/1P1BPN2/3N1PP1/2R2K1R b - - 2 21,h8e5,-8,-7,ks,w,2,mid,0,b
4r1kn/2R2p1p/5R2/5N2/5P2/4P1PK/5r1P/8 w - - 1 38,e3e4,487,412,ks,w,2,eeg,0,w
3rr1k1/b1p2ppp/1p6/p1p5/2PP4/2n1PBP1/P6P/R1B1R1K1 w - - 2 27,d4c5,-48,-53,qs,b,1,mid,1,w
r3k1r1/pp2p2N/1q1p1bp1/2p4n/2PpPPQ1/3P4/PP4PP/R1B2RK1 w q - 1 17,f4f5,477,334,ks,w,2,mid,0,w
