fen_start,sf_best,sf_cp,sf_static,cat,dist,stm
8/r2kn1p1/p5Q1/4q3/P2p2P1/2p5/5P1P/5K1R w - - 1 31,g6d3,-641,-669,clear,2,w
2b1rr1k/Q1n1b2p/3p2pP/P1p1ppN1/q1P1N1nR/3P1BP1/3BPP2/1R2K3 b - - 6 27,f5e4,191,244,clear,3,b
6k1/6p1/4np2/3Q4/6r1/P3P3/5K1p/8 w - - 0 43,d5e6,172,58,clear,1,w
8/4brpk/2R1p2p/p3B3/P1p2P2/4P2P/4K1P1/8 w - - 0 41,c6e6,443,342,clear,3,w
3r1k2/pp5r/n1pPqp2/2Pbpn1p/3p3P/P2P1N2/1PQBBP2/2R2K1R w - - 6 33,h1g1,-197,-101,clear,2,w
8/2kn2K1/5PBR/8/1r6/8/7P/8 b - - 0 68,d7f6,489,275,clear,2,b
6k1/8/8/2pPn1KP/2P3P1/1p6/5B2/8 w - - 0 59,g5f4,-529,-134,clear,2,w
2r2rk1/4b3/2b2p1p/3Pp1p1/1R3P2/2P1BNP1/P6P/5RK1 b - - 0 30,c6d5,-319,-29,clear,3,b
5rk1/pp3pbp/6p1/3qp3/2p3P1/1r2P2P/Q1N2PN1/2K3RR b - - 7 30,b7b5,-368,-353,clear,3,b
3rr1kb/1Bq2p2/pn2b2p/2pnN1p1/3PN3/Pp2B1PP/3Q1P2/3RK2R w K - 3 27,e1g1,-416,-411,clear,2,w
8/3B4/8/6n1/4k2p/8/1b4K1/8 w - - 52 83,d7h3,-205,-172,clear,3,w
rnq2k2/4bN2/ppPp2pr/8/2BN3p/2P4P/PP2QPP1/R4RK1 b - - 0 21,h6h5,807,663,clear,2,b
rr6/7p/PP4p1/4kp2/8/2P1N2P/2K2nP1/R7 b - - 0 33,e5d6,-203,-86,clear,2,b
8/5k2/7K/3p2P1/r2P4/3R2P1/8/8 b - - 6 60,a4a1,485,326,clear,3,b
1r1r2k1/p3qpp1/R4n1p/1B6/2P2P1P/3bP3/1Q3P2/4K1R1 b - - 0 29,b8b6,-486,-508,clear,4,b
r1b3kr/2R1Rp2/6p1/1P1P3p/2N5/7P/5PP1/6K1 b - - 0 36,h5h4,579,433,clear,3,b
1r6/2N2pk1/2R2n2/pP3p2/6p1/6P1/P3PP2/5K2 w - - 3 37,b5b6,331,242,clear,3,w
8/5nk1/5pp1/p3p2p/4P3/q2Q1PP1/7P/3R3K b - - 3 36,a3c5,158,146,clear,4,b
