# Diverse balanced opening seeds for the fixed-depth color-bias sweep (depth_color_sweep.sh).
# 12 openings spanning e4 e5 / Sicilian / semi-open / d4 systems / flank, all SF-equal at the seed.
# One per line, space-separated UCI (the driver PUSHes these and forces USE_OPENING_BOOK=0).
# NOTE: no inline comments on move lines -- load_openings() splits the whole line into moves.
#
# Sweep index -> opening (original index in selfplay/openings.txt):
#   0 Ruy Lopez (op0)      1 Scotch (op3)        2 Sicilian Najdorf (op7)
#   3 Four Knights (op5)   4 Caro-Kann (op13)    5 Pirc (op16)
#   6 QGD (op17)           7 Nimzo-Indian (op20) 8 King's Indian (op23)
#   9 Dutch (op26)        10 English (op27)     11 Reti (op29)

e2e4 e7e5 g1f3 b8c6 f1b5 a7a6 b5a4 g8f6 e1g1 f8e7
e2e4 e7e5 g1f3 b8c6 d2d4 e5d4 f3d4 g8f6 b1c3 f8b4
e2e4 c7c5 g1f3 d7d6 d2d4 c5d4 f3d4 g8f6 b1c3 a7a6
e2e4 e7e5 g1f3 b8c6 b1c3 g8f6 f1b5 f8b4 e1g1 e8g8
e2e4 c7c6 d2d4 d7d5 b1c3 d5e4 c3e4 c8f5 e4g3 f5g6
e2e4 d7d6 d2d4 g8f6 b1c3 g7g6 g1f3 f8g7 f1e2 e8g8
d2d4 d7d5 c2c4 e7e6 b1c3 g8f6 c1g5 f8e7 e2e3 e8g8
d2d4 g8f6 c2c4 e7e6 b1c3 f8b4 e2e3 e8g8 f1d3 d7d5
d2d4 g8f6 c2c4 g7g6 b1c3 f8g7 e2e4 d7d6 g1f3 e8g8
d2d4 f7f5 g2g3 g8f6 f1g2 e7e6 g1f3 f8e7 e1g1 e8g8
c2c4 e7e5 b1c3 g8f6 g1f3 b8c6 g2g3 d7d5 c4d5 f6d5
g1f3 d7d5 c2c4 e7e6 g2g3 g8f6 f1g2 f8e7 e1g1 e8g8
