fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
3r2k1/4rpp1/pp1q3p/4p3/1PP1Q3/P2PRPP1/7P/2R3K1 b - - 4 31,42,0,near_equal,0.5,-1796,34,-1283,0,0,0,-219,0,0,0,-294
r1bqkb1r/1p1p1p2/p1n1pn1p/2p3p1/2P5/P1NPBNP1/1P2PPBP/R2QK2R b KQkq - 1 9,0,0,near_equal,1.0,-765,56,-365,0,0,0,-400,0,0,0,0
3r2k1/7p/6p1/R1pP1p2/3b1R2/P4P2/5P1P/6K1 b - - 0 36,90,1,white_winning,0.5,1284,153,-1431,1825,890,0,0,0,0,0,0
r4rk1/pb3p2/1p1b1n1p/1N1p3p/3Pp3/4P3/PP1NBPP1/2R1K2R b K - 1 21,53,0,near_equal,0.5,983,17,824,0,0,-75,134,0,0,100,0
r1r3k1/pb1pbppp/qpn1pn2/8/2P2B2/P1N2NP1/1PQ1PPBP/R4RK1 w - - 3 15,0,0,near_equal,0.0,717,46,-37,1045,0,0,-291,0,0,0,0
1r2k2r/p4p2/1p2p1p1/P3P2p/1Q1B4/2P3Pq/4KP1P/R5R1 w k - 2 29,37,0,white_winning,1.0,-3302,585,-1754,15,0,-414,-300,0,0,0,-849
8/2p2p2/3k3p/p4Pp1/4B1P1/2P1K3/r4P1P/7R w - - 0 30,101,1,white_winning,1.0,-7029,491,-4552,0,83,0,0,0,0,0,-1355
1R6/4k3/8/p7/1b3P2/3P1BP1/6K1/8 w - - 5 51,106,1,white_winning,1.0,-13372,555,-9762,0,225,0,0,0,0,0,-2985
r2qk2r/pp3p2/2pbpn1p/3p1p2/2PN1P2/1PN1P3/P2PQ1PP/2R2RK1 w kq - 2 14,21,0,near_equal,1.0,-828,6,-893,0,0,75,190,0,0,-200,0
2kr4/ppn4p/2p2p2/2N2Nrb/4R1P1/5P2/PP6/4R1K1 b - - 0 33,64,0,near_equal,0.5,296,1,731,0,0,0,-235,0,0,-200,0
8/ppN1k2p/8/2pn1ppq/P1P5/4P1P1/3KNP1P/7R w - - 0 28,80,1,near_equal,1.0,-1580,-145,1870,-3250,0,0,0,0,0,-200,0
1k1r3r/pp2n1b1/2n1b1pp/1N3p1P/1pPp4/P2P2P1/1B1N1PB1/2R1K2R w K - 0 24,42,0,near_equal,0.5,1472,-52,1141,0,0,31,300,0,0,0,0
rn2k1nr/pppq1ppp/3b4/5b2/4P3/2N2NP1/PP2QP1P/R1B1KB1R b KQkq - 0 9,0,0,near_equal,0.5,-546,91,-146,0,0,0,-400,0,0,0,0
8/1p2kp1p/1p4rP/2b2pp1/P7/1N4P1/3R4/5K2 w - - 1 38,96,1,black_winning,0.0,7060,-424,3686,1025,0,0,0,0,0,0,1609
r1bq1rk1/1pp1b1pp/2np4/p2N1p2/P1PNn3/4B1PB/1P2PP1P/R2QK2R w KQ - 0 12,0,0,near_equal,1.0,-487,64,-67,-200,0,-75,-145,0,0,0,0
2r2r2/4k2p/4q1pN/p1n5/3p4/P4QP1/4PP1P/R4RK1 w - - 9 31,32,0,near_equal,1.0,-2923,62,-3050,0,0,75,300,0,0,0,-248
6k1/8/7p/5Np1/2P3P1/5K1P/2P2P2/8 b - - 2 52,122,1,white_winning,1.0,-13810,559,-8111,-1090,0,0,0,0,0,0,-3624
r1b1k1nr/2qnppbp/3p2p1/1PpP4/p7/2N1BNP1/PP2PPBP/1R1QK2R w Kkq - 2 11,0,0,near_equal,1.0,-2260,133,-1071,-1060,656,0,-400,0,0,0,-385
rn1qk2r/pp3pp1/3p1b1p/2pP1n2/P7/5N1P/1PP2PP1/RNBQ1K1R w kq - 0 11,10,0,near_equal,1.0,159,46,-265,0,0,75,349,0,0,0,0
4r1k1/6p1/1p1b3p/p7/4qN1P/P1n1P1Q1/6PK/R7 b - - 7 34,48,0,black_winning,0.0,7988,-659,4674,1202,0,-60,207,0,1173,0,792
r2qk2r/1bpn1ppp/pp1bpn2/3p4/P2P4/2NBPN1P/1PP2PP1/R1BQK2R b KQkq - 0 9,0,0,near_equal,0.0,61,-68,-264,0,0,0,325,0,0,0,0
r2qkb1r/pp3pp1/4bnp1/1P6/2Pp4/P2P4/4QPPP/RNB1KB1R w KQkq - 0 12,10,0,near_equal,0.0,-431,-18,-831,0,0,0,400,0,0,0,0
2r2rk1/p3ppb1/Qpp4p/3pP3/PP2Pp2/R7/6PP/2R3K1 w - - 0 24,58,0,white_winning,1.0,-4325,419,-4034,99,0,0,-13,0,0,0,-377
rn1qkb1r/1b3ppp/pP3n2/3p4/P3p3/1N2PN2/1PP1BPPP/R1BQK2R w KQkq - 0 12,0,0,white_winning,1.0,-2370,179,-2896,0,500,0,400,0,0,0,-374
8/p2r4/8/P1p1p3/1p1k1p2/1P1P1P2/3K4/5B2 b - - 2 61,112,1,black_winning,0.0,6720,-415,4111,0,0,0,0,0,0,0,1159
8/3q1r2/4N2k/4p2p/2Q5/p5P1/PP1b3P/KR6 w - - 0 39,53,0,near_equal,0.0,-3565,15,-1410,-1000,-45,-50,46,-600,0,0,-506
8/8/5k2/R7/4b3/6P1/5K2/2r5 b - - 0 67,101,1,near_equal,0.5,6555,-4,4262,0,0,0,0,0,0,0,1198
r1bqkb1r/1p1p1p2/p1n1pnpp/2p5/2P2B2/P1NP1NP1/1P2PPBP/R2QK2R b KQkq - 1 8,0,0,near_equal,1.0,-768,58,-368,0,0,0,-400,0,0,0,0
8/p7/k1pB3p/6p1/P7/3b2P1/1R4K1/4r3 w - - 0 37,96,1,near_equal,0.5,4497,-139,2940,0,0,0,0,0,0,0,817
r1bqk2r/1ppp2pp/2n5/p1b1pn2/4N3/3P1NPP/PPP2P2/R1BQKB1R b KQkq - 1 8,0,0,near_equal,0.0,197,-26,-203,0,0,0,400,0,0,0,0
6k1/1R4P1/3b1p2/2p1p2p/p1PpP2P/P2r4/K7/8 b - - 0 44,101,1,black_winning,0.0,9459,-274,5840,0,780,0,0,0,0,0,1682
3r3r/2knpp2/pqpp1b1p/6p1/3P4/1PQ2NPB/P3PP1P/2RR2K1 w - - 2 21,21,0,white_winning,1.0,-2124,257,-1774,0,0,0,-350,0,0,0,0
5bk1/r7/2p1qppp/2p1n3/2PrP3/PR4QP/2RNB1P1/6K1 w - - 4 40,21,0,near_equal,0.0,789,-78,439,0,0,0,350,0,0,0,0
r3kb1r/pp3ppp/2p2n2/2n1p1B1/2P1P1b1/3B1N2/Pq1N1PPP/R2Q1RK1 w kq - 0 11,0,0,near_equal,1.0,658,-103,686,0,0,75,-103,0,0,0,0
r4rk1/1p1n4/p2p2pp/2p1p2n/PqP1P2P/1PN3PN/1Q3P2/R3K2R b KQ - 0 20,21,0,near_equal,0.0,910,23,450,0,0,110,350,0,0,0,0
r1b1k2r/4bppp/pp2p3/2pq4/1n2N3/1P2PNP1/P2P1P1P/RQB1K2R w KQkq - 0 13,10,0,black_winning,0.0,939,-260,379,0,0,90,370,0,0,100,0
r2q1k2/5p2/2R2pr1/1PR1pQ1p/3p3P/3P1P2/3P2P1/6K1 b - - 2 37,42,0,white_winning,1.0,-3437,249,-1726,-1051,180,-218,-160,0,0,0,-462
r3k2r/p1qn1ppp/b2ppn2/1P6/8/2PPBN2/1P2QPPP/R3KB1R b KQkq - 0 13,10,0,white_winning,0.0,-309,151,-1137,1069,0,0,-141,0,0,-100,0
8/8/1r4p1/7p/1PR1P2P/4kPK1/8/8 b - - 4 54,106,1,white_winning,0.5,-5135,223,-3228,0,450,0,0,0,0,0,-952
r4rk1/pb1nqp1p/1p1bpnp1/2p3N1/N1P5/3BP2P/PBQP1PP1/2R1K2R w K - 0 15,0,0,near_equal,0.0,1406,-55,66,1015,0,-75,400,0,0,0,0
r3k2r/pR2n3/2p4p/3pPp2/4b1p1/P4PP1/3NP2P/2R2BK1 b kq - 1 24,64,0,white_winning,1.0,700,267,210,0,400,-44,134,0,0,0,0
r3k2r/1p1bpp1p/p2p2p1/3Pq3/2P4P/1N1Q4/P4PP1/R4K1R b kq - 0 19,32,0,black_winning,0.0,1232,-172,1304,0,0,153,-225,0,0,0,0
4k2r/1b1n1p2/4pb1n/1p1p3p/q1pP1Qp1/N1P3P1/1PNBPPBP/5RK1 w k - 2 18,21,0,near_equal,1.0,608,115,269,0,0,-11,350,0,0,0,0
6k1/1pR4p/6pb/pN1pp3/P7/1P3PPq/4PK2/8 w - - 4 34,85,1,black_winning,0.0,8593,-319,7248,-1045,0,0,0,0,0,0,1695
8/1p6/p7/P4p1p/1P1k3P/4p1P1/8/4K3 b - - 1 44,128,1,black_winning,0.0,2262,-410,2424,0,-750,0,0,0,0,0,588
1rb2rk1/p3p1bp/2Pp2p1/3P4/3N1p2/5B2/P4PPP/2BRK2R w - - 2 26,58,0,white_winning,1.0,-4669,512,-4227,0,250,-75,-126,0,0,0,-491
2b3k1/3n1pp1/1p1q1n2/p3p2p/2B1P3/PP3N1P/1B2QPP1/6K1 b - - 3 26,53,0,near_equal,0.0,-677,105,-529,0,0,0,-48,0,0,-100,0
b7/3kr1pp/1p6/8/2P5/2q1n3/5QPP/5RK1 w - - 2 31,53,0,black_winning,0.0,7751,-378,6266,0,0,-250,89,0,465,0,1181
rnb1k2r/1p1n1p1p/p3p1p1/b2pP3/N4P2/P2B3P/1PP3P1/R1B2KNR b kq - 0 13,42,0,near_equal,0.5,-59,-23,-11,0,0,75,-123,0,0,0,0
8/1N6/5p2/3pppkp/3P4/P6P/1PK5/8 w - - 2 37,122,1,white_winning,1.0,-2988,282,-1910,0,90,0,0,0,0,0,-1168
1r4k1/1P3bp1/3N1p1p/4n3/1pp5/6P1/1PP3BP/4KR2 b - - 1 32,85,1,white_winning,0.5,48,214,-552,0,600,0,0,0,0,0,0
4r1k1/pp3pp1/2p5/P4P2/1Pr2q2/Q1N2B2/8/1K1R4 b - - 3 38,42,0,black_winning,0.0,7737,-395,1435,4501,0,0,-42,0,0,0,1843
1r4k1/p2r2pp/4bp2/R7/7P/1P1nP1P1/1P1p1PK1/3B3R w - - 2 30,69,1,black_winning,0.0,5342,-488,4710,0,-600,0,0,0,0,0,492
1rbqkbnr/1p1n1ppp/p2p4/4p3/3Q4/2N2NPP/PPP1PPB1/R1B1K2R w KQk - 0 8,0,0,near_equal,0.0,-1797,65,-1397,0,0,0,-400,0,0,0,0
2kr3r/1pp3pq/2nn3p/p3p2P/Q2p4/2PbNB1P/PP3P2/R1B1K2R w K - 0 25,10,0,black_winning,0.0,3358,-361,2802,0,0,93,400,0,0,-100,163
r1nqkb2/1b1n1pp1/1p2p2r/p1p1B2p/N1P4P/PQ2PN2/1P3PP1/3RKB1R w Kq - 1 16,0,0,white_winning,1.0,-968,167,-568,0,0,0,-400,0,0,0,0
rnb1kb1r/ppq1pp1p/3p1np1/2p5/P1BP1B2/4PN1P/1PP2PP1/RN1QK2R b KQkq - 1 7,0,0,near_equal,0.5,-1242,42,-842,0,0,0,-400,0,0,0,0
7r/6r1/6P1/pp2PBRp/kP1p3P/3P4/4KP2/1R6 w - - 0 32,80,1,white_winning,1.0,-11044,667,-8929,0,1160,0,0,0,0,0,-1732
r2qkb1r/ppp1ppp1/2n2n2/3p1b2/3P3p/1P1BPN1P/PBP2PP1/RN1QK2R b KQkq - 4 7,0,0,near_equal,0.0,-144,44,232,0,0,0,-376,0,0,0,0
r2qr1k1/1pp1pp1p/1n2bnpb/pP1p4/3P4/BQNBPN2/P1P2PPP/R3K2R w KQ - 8 14,0,0,near_equal,0.5,-483,-12,-8,0,0,-75,-400,0,0,0,0
3k4/1r6/4K1p1/2r5/8/8/5R2/8 w - - 0 64,96,1,black_winning,0.0,11499,-372,7486,0,0,0,0,0,0,0,2608
7R/pp2k1p1/5p2/5n2/2Np2b1/1P1P4/P4K2/8 b - - 2 42,101,1,near_equal,1.0,1964,85,1775,0,0,0,0,0,0,0,189
2r1k3/1p1b1p2/p1n1pBp1/b2pPn1r/3P2RP/1P1B1N2/NP2RP2/5K2 w - - 20 31,42,0,near_equal,0.0,-41,-82,309,0,0,-50,-300,0,0,0,0
2b2rk1/p3p2p/1rPpN1p1/3P4/5p2/B1b2B2/P4PPP/3R1K1R b - - 7 28,58,0,white_winning,1.0,-4786,343,-4230,0,100,0,-165,0,0,0,-491
rnBqk2r/ppn1ppb1/2pp2p1/4P2p/2P2P1P/6P1/PP1P4/RNBQK1NR b KQkq - 0 9,5,0,near_equal,0.5,-533,85,-3106,3450,0,-177,-400,0,0,-300,0
r1b1kB1r/pppp1pp1/2n1qn2/1B2p2p/8/1P2P3/P1PP1PPP/RNQ1K1NR b KQkq - 0 7,5,0,near_equal,0.0,38,-16,-3512,3450,0,0,400,0,0,-300,0
2r5/4k3/2p2pp1/R7/8/1b4P1/p5BP/6K1 w - - 1 43,96,1,black_winning,0.0,6042,-416,3768,0,0,0,0,0,0,0,817
rr4k1/ppN1bppp/8/4N3/6n1/2Q5/PPP2PPP/R4RK1 b - - 0 17,42,0,white_winning,1.0,-15631,588,-11551,-1750,0,0,-262,0,0,-200,-1868
1r4k1/p3rppp/2p5/B4b2/2Bb4/q3P3/PP3PPP/2R1K2R w K - 0 20,42,0,black_winning,0.5,31,-323,9674,-10000,0,57,300,0,0,0,0
r5k1/2p2qp1/2N1bp2/1Pp1p2r/3PP3/P1Q4P/6R1/5BK1 w - - 0 32,37,0,near_equal,0.0,2808,-128,2363,39,0,84,-131,0,0,0,453
r1b1k2r/2qn1ppp/pp1bpn2/3p4/P2P4/2NBPN2/1P3PPP/R1BQK2R w KQkq - 0 12,0,0,near_equal,0.0,-268,10,-198,0,0,0,-70,0,0,0,0
2rk3r/1p1np3/p1np1pp1/2p1b2p/2P1PB1P/1PNP1PP1/1P3N1R/R3K3 w - - 2 23,53,0,near_equal,0.0,-13,-92,64,0,0,0,-77,0,0,0,0
rn2k2r/pb1pppbp/1q3np1/1ppP4/2P5/1Q2PPP1/PP3K1P/RNB2BNR w kq - 3 9,0,0,near_equal,0.5,440,-19,1642,-1000,0,75,-277,0,0,0,0
8/8/1p2p3/pP2k3/P1p1r2p/4r3/K6R/3B4 b - - 7 76,90,1,black_winning,0.0,9965,-589,7619,0,-720,0,0,0,0,0,1685
r1bqk1nr/pp4pp/1bn1pp2/3p4/5B2/1N2PN2/PPP2PPP/R2QKB1R w KQkq - 0 8,0,0,near_equal,1.0,6,-32,-394,0,0,0,400,0,0,0,0
3qkb1r/3b1ppp/3p4/p1pPn3/pr6/4B1PP/2P1NPB1/RR1Q2K1 w k - 1 22,10,0,near_equal,1.0,572,-81,1600,0,-809,75,-294,0,0,0,0
7b/p1r1rB1p/4p2k/7P/8/2N2R2/P4P2/3N1K2 w - - 1 38,74,1,near_equal,0.0,-2445,28,-1745,0,0,0,0,0,0,-200,-500
r1q1kb1r/ppp3p1/3ppn2/4p2p/2PnP3/2NP1N2/PP3PPP/R1BQ1RK1 w kq - 4 10,10,0,near_equal,1.0,-391,92,-250,0,0,75,-216,0,0,0,0
r4rk1/p3q3/n1p1pbpp/P1Pp1p2/3PN3/N1B1P3/2Q2PPP/1RR3K1 b - - 0 23,16,0,near_equal,1.0,-747,127,-3875,3250,0,0,78,0,0,-200,0
8/2N5/p2r3p/P4p1k/4pP2/6PK/8/8 w - - 6 49,112,1,black_winning,0.0,7563,-479,4420,0,0,0,0,0,0,0,1309
r4rk1/3q1pp1/np1Np1bp/p2P4/2B2B2/P7/1P3PPP/R2Q1RK1 w - - 1 19,16,0,white_winning,1.0,-5019,564,-3603,0,0,0,-400,0,0,-300,-716
rn1q1rk1/pp2ppb1/2p2n1p/5bp1/2PP4/2N1BNP1/P3PPBP/R2Q1RK1 b - - 0 11,0,0,near_equal,0.0,-949,44,-549,0,0,0,-400,0,0,0,0
2r1r1k1/3n3p/pp1qb1p1/1Pp1pn2/P1P5/2NPQ3/3N2PP/1RRB2K1 w - - 0 23,10,0,near_equal,0.5,-57,69,422,-1000,0,121,400,0,0,0,0
1n1r2k1/1p3ppp/pN6/3p4/8/2q2N2/P1P2PPP/R1Q3K1 w - - 4 24,48,0,white_winning,1.0,-2355,335,-2035,0,0,0,86,0,0,-200,-206
1rb1k1nr/3p3p/p2bp3/1p3p2/6pN/1PNP3P/P3BPP1/R3K2R b KQk - 0 16,53,0,black_winning,0.0,2110,-353,1602,0,0,0,86,0,0,100,322
8/3b3p/5p2/8/5PP1/P2k3P/2p5/2R1K3 w - - 1 47,112,1,near_equal,1.0,-5424,67,-2205,0,-600,0,0,0,0,0,-1214
8/1p1k4/4b1p1/6Bp/5N1P/P2PKPP1/1P6/8 b - - 8 44,112,1,white_winning,1.0,-11801,624,-8221,0,0,0,0,0,0,0,-2530
8/6p1/8/5kP1/3p2RP/3K4/8/8 w - - 1 59,117,1,white_winning,1.0,-13401,544,-5979,-1825,-600,0,0,0,0,0,-3592
4r1k1/1r6/3Rpp2/5p2/1B3P2/P5K1/1P5P/2R5 w - - 1 35,80,1,white_winning,1.0,-8809,575,-6313,0,0,0,0,0,0,0,-1511
2k2r1r/pp1bb1pp/2pp4/8/2PP1P2/1PNn1BPP/P4P2/R1B2K1R b - - 0 22,53,0,white_winning,1.0,-2697,207,-2057,200,0,0,-297,0,0,0,-543
r3k2r/pp2bpp1/2p2nn1/3Q3p/1P3PbP/2B1P1P1/P2N4/1R2KBNR b Kkq - 0 17,21,0,white_winning,0.5,-763,153,-10036,10000,0,-377,-350,0,0,0,0
7r/R6p/4k3/2P5/8/3rb1P1/P6P/7K w - - 1 37,90,1,black_winning,0.0,9307,-409,6333,0,-40,0,0,0,0,0,2060
7R/8/8/8/8/3k4/5K2/8 w - - 1 103,117,1,white_winning,1.0,-10205,518,-5859,0,0,0,0,0,0,0,-2941
1r6/6pp/p7/1p2k3/P1pp2P1/4p1n1/P3Br2/2R1R1K1 w - - 0 43,74,1,black_winning,0.0,10716,-621,8951,0,-2600,0,0,0,0,0,1178
r1bq1rk1/1pp1bpp1/2n1pn1p/p7/2BPP3/P1NQ1N2/1P3PPP/R1B2RK1 w - - 5 14,0,0,near_equal,1.0,-984,138,-584,0,0,0,-400,0,0,0,0
8/8/P7/7R/1b5P/2kp1KP1/8/8 b - - 0 65,112,1,white_winning,1.0,-7523,332,-4658,0,142,0,0,0,0,0,-1775
3r2k1/6p1/p1r1p2p/1p2Pp1P/3B1RP1/2P4n/PP1K4/5R2 b - - 12 37,74,1,near_equal,0.0,-129,-39,-879,750,0,0,0,0,0,0,0
2rq2k1/2b2p1p/p3rn1P/Pp1b2p1/2p1p1P1/2P1P3/RPBNQP2/2B2KR1 w - - 4 35,10,0,black_winning,0.0,2390,-283,715,1060,0,0,400,0,0,0,215
2rr1k2/p4p2/3p2p1/5q2/2PR1PN1/QP3P2/P6P/2K5 b - - 0 35,48,0,near_equal,0.5,-290,-122,71,0,0,-121,-240,0,0,0,0
2r5/R2b3p/3k1p1b/4p3/4n3/6PN/P4PKP/8 w - - 2 32,85,1,black_winning,0.0,11579,-615,8183,0,0,0,0,0,0,300,1956
rn2kbnr/1p3ppp/pq2p3/2PpPb2/8/2P2N2/PP2BPPP/RNBQ1RK1 b kq - 0 8,0,0,near_equal,0.0,-547,115,-1291,1069,0,75,-400,0,0,0,0
r3k1nr/pp4pp/n1p1q3/4pbB1/1bPN4/1N1P3P/PP2BPP1/R2Q1K1R b kq - 0 14,0,0,white_winning,0.0,398,181,-1724,2250,0,-58,-70,0,0,0,0
2kr1B1Q/p3pp1p/1p1pqnp1/8/2b5/5NP1/PP2PP1P/R4RK1 w - - 3 15,32,0,white_winning,1.0,-3130,195,-3850,1015,0,88,300,0,0,0,-683
r6k/3qbBpp/2pp1n2/p3p3/Q7/3PB1P1/PP1KPP1P/n6R w - - 2 20,37,0,near_equal,0.0,392,-48,3571,-3250,0,-75,246,0,0,-100,0
3qr2k/pr3p2/1p3npP/n2p2R1/1B1PpN2/PPQ1P3/2R2P2/4K3 b - - 0 32,21,0,near_equal,0.5,-1108,46,-1700,0,500,-104,-4,0,0,200,0
5bk1/2Q2ppp/4p3/pr4q1/3B2P1/4P3/5PP1/R2B2K1 w - - 4 34,48,0,white_winning,1.0,-2998,514,-2162,0,-243,17,-64,0,0,-300,-246
r1bqk3/pp2bppr/2np1n2/2p1pP1P/2P1P2P/2NP2Q1/PP6/R1B1KBNR w KQq - 5 12,0,0,near_equal,1.0,317,99,-756,1069,0,0,4,0,0,0,0
