fen,phase_score,is_endgame,status,result_white,our_total,sf_static_cp,pieces,capture_gains,passed_pawn_support,latent_threat,central,imbalance_white,imbalance_black,pair_bonus,piece_value_boost
r7/2pn2kp/r1pp1n2/6B1/2P1p3/1P3P2/4B1PP/2KR1R2 w - - 2 26,64,0,near_equal,1.0,-569,-25,-622,0,0,1,152,0,0,-100,0
r3k1r1/pp5p/2n1q3/8/2Pb1pbP/3B4/PP6/2KR1QNR b q - 4 20,16,0,black_winning,0.0,6188,-596,4256,535,-260,75,400,0,0,300,882
r3k2r/6p1/p1pbPp2/2p2R2/q1P3p1/P2P4/1B2Q1P1/1R4K1 b kq - 5 26,32,0,near_equal,0.5,-965,9,54,-1060,500,-210,-249,0,0,0,0
1k1r3r/pb1qbp2/1pp1p3/5p1p/Q6P/1PN1PN2/P2P1PP1/4KB1R b - - 0 19,26,0,black_winning,0.0,2726,-411,2008,0,0,-156,350,0,0,100,424
7r/4kppp/4pn2/2N5/2N5/4P2P/r1P1KPP1/2B4R b - - 0 26,74,1,near_equal,0.5,-3852,19,-3502,1190,0,0,0,0,0,-200,-490
2k5/7R/3P3p/p5p1/8/P4pP1/5P1P/6K1 b - - 1 39,117,1,white_winning,1.0,-13006,626,-8214,-1090,200,0,0,0,0,0,-3222
rq4k1/4pN1p/1np2np1/B3p3/5b2/3Q1B1P/1PP2PP1/R3R1K1 w - - 1 24,21,0,white_winning,1.0,-4565,323,-6322,2220,0,-35,350,0,0,-100,-678
r2q1r2/1p4pk/4Q2p/p1p3P1/2n4P/PPp2P2/7N/R1K1R3 w - - 2 28,32,0,near_equal,0.5,-3016,-90,760,-2250,-375,-721,-19,-93,0,0,-318
1rb1k2r/3pbp2/p3pPp1/qp6/2Pp1B1p/1P1P2P1/PQ3PBP/2R2K1R b k - 0 19,21,0,white_winning,1.0,-989,183,-507,0,0,-132,-350,0,0,0,0
8/6k1/P1q1r1pp/8/2Bb1P1P/P2R2P1/2Q5/5K2 w - - 1 39,53,0,white_winning,0.5,-9593,176,-4733,-3450,250,-116,100,0,0,0,-1644
r2r2k1/1p1np1bp/p1n1p1p1/2q5/3pN3/P2BP1QP/1PPB1PP1/R2K3R b - - 1 16,10,0,near_equal,0.0,285,-27,-92,0,0,77,400,0,0,-100,0
r3r1k1/pp2pp2/nqp1bbpB/8/2PPP3/5NP1/P2Q1PBP/R3R1K1 w - - 1 17,10,0,white_winning,1.0,-671,307,-1180,1045,0,-136,-400,0,0,0,0
5R2/2k5/8/1R5p/1prr1P1P/6PK/8/8 b - - 2 44,85,1,near_equal,1.0,-4274,140,-1702,-1135,-248,0,0,0,0,0,-854
r4k1r/3q1ppn/bppbp3/p2pP3/P1PP1B2/1P1Q1BP1/3N1P2/RR4K1 b - - 2 24,10,0,near_equal,1.0,-569,92,-169,0,0,0,-400,0,0,0,0
1r2r3/2nbb2k/3p2p1/2pPp2n/p1p1P3/q3BN1p/1P5Q/1KRN1BR1 w - - 0 39,0,0,near_equal,0.0,-6545,-7,3896,-10000,-500,898,400,0,0,0,-1239
rnbr4/1pq1k2p/p2Np3/2p2p2/4Bp2/P5P1/QPP2P1P/RN1R2K1 b - - 0 18,16,0,near_equal,0.5,-5466,4,-5386,2250,0,61,-400,-1791,0,-200,0
1r5k/3b1rpp/p4n2/2Q4P/PP5R/2NqB1P1/5P2/R5K1 b - - 2 26,21,0,near_equal,0.0,-3639,111,-2713,0,0,-119,-350,0,0,0,-457
r3k2r/1p3pbp/1qpp1np1/p1n1pb2/P1P5/2NPQNPP/RP2PPB1/2B1K2R w Kkq - 0 12,0,0,near_equal,0.0,478,-76,78,0,0,0,400,0,0,0,0
