MIN CHOSEN: Bishop, Black, 6, 6

MAX CHOSEN: Rook, White, 2, 1
FINAL MOVE: Pawn, Black, 1, 6
FINAL MOVE: Pawn, Black, 1, 5
FINAL MOVE: Rook, Black, 2, 8
FINAL MOVE: Rook, Black, 1, 6
FINAL MOVE: Rook, Black, 1, 5
FINAL MOVE: Rook, Black, 1, 4
FINAL MOVE: Rook, Black, 6, 8
FINAL MOVE: Rook, Black, 1, 3
FINAL MOVE: Rook, Black, 7, 8
FINAL MOVE: Rook, Black, 1, 2
FINAL MOVE: Rook, Black, 1, 1
FINAL MOVE: Pawn, Black, 2, 6
FINAL MOVE: Pawn, Black, 2, 5
FINAL MOVE: Knight, Black, 5, 7
FINAL MOVE: Knight, Black, 5, 5
FINAL MOVE: Knight, Black, 1, 5
FINAL MOVE: Knight, Black, 4, 4
FINAL MOVE: Knight, Black, 2, 8
FINAL MOVE: Knight, Black, 2, 4
FINAL MOVE: Pawn, Black, 3, 6
FINAL MOVE: Pawn, Black, 3, 5
FINAL MOVE: Bishop, Black, 5, 6
FINAL MOVE: Bishop, Black, 1, 6
FINAL MOVE: Bishop, Black, 6, 5
FINAL MOVE: Bishop, Black, 7, 4
FINAL MOVE: Bishop, Black, 8, 3
FINAL MOVE: Pawn, Black, 4, 6
FINAL MOVE: Pawn, Black, 4, 5
FINAL MOVE: Queen, Black, 5, 7
FINAL MOVE: Queen, Black, 2, 6
FINAL MOVE: Queen, Black, 6, 8
FINAL MOVE: Queen, Black, 4, 6
FINAL MOVE: Queen, Black, 2, 8
FINAL MOVE: Queen, Black, 7, 5
FINAL MOVE: Queen, Black, 1, 5
FINAL MOVE: Queen, Black, 7, 8
FINAL MOVE: Queen, Black, 4, 5
FINAL MOVE: Queen, Black, 8, 4
FINAL MOVE: Queen, Black, 4, 4
FINAL MOVE: Queen, Black, 4, 3
FINAL MOVE: Queen, Black, 4, 2
FINAL MOVE: Queen, Black, 4, 1
FINAL MOVE: King, Black, 6, 8
FINAL MOVE: King, Black, 6, 7
FINAL MOVE: King, Black, 4, 8
FINAL MOVE: King, Black, 4, 7
FINAL MOVE: King, Black, 5, 7
FINAL MOVE: King, Black, 7, 8
FINAL MOVE: King, Black, 3, 8
FINAL MOVE: Bishop, Black, 7, 5
